,CO2
1159,139.0
1177,163.0
1178,159.0
1188,144.0
1189,153.0
1190,169.0
1198,149.0
1199,155.0
1200,169.0
1210,149.0
1211,138.0
1212,136.0
1213,155.0
1214,150.0
1215,135.0
1216,136.0
1217,134.0
1218,127.0
1219,129.0
1229,107.0
1230,104.0
1231,102.0
1232,136.0
1233,154.0
1234,137.0
1236,112.0
1237,109.0
1238,178.0
1239,144.0
1240,149.0
1248,155.0
1249,169.0
1250,165.0
1282,152.0
1283,152.0
1284,135.0
1285,168.0
1300,131.0
1301,161.0
1303,135.0
1304,161.0
1309,116.0
1310,135.0
1313,116.0
1314,124.0
1315,135.0
1366,275.0
1367,307.0
1370,275.0
1371,307.0
1374,270.0
1375,299.0
1378,299.0
1379,270.0
1382,350.0
1383,380.0
1384,380.0
1385,360.0
1387,118.0
1388,110.0
1390,110.0
1391,115.0
1393,119.0
1396,113.0
1400,104.0
1420,110.0
1422,140.0
1423,140.0
1424,135.0
1426,135.0
1427,130.0
1429,149.0
1431,140.0
1434,135.0
1436,155.0
1437,155.0
1440,92.0
1441,92.0
1442,90.0
1443,95.0
1445,92.0
1446,97.0
1447,97.0
1448,95.0
1449,95.0
1450,118.0
1451,110.0
1453,115.0
1455,119.0
1457,113.0
1458,110.0
1460,140.0
1461,135.0
1463,135.0
1464,130.0
1466,149.0
1467,140.0
1470,135.0
1474,92.0
1475,92.0
1476,90.0
1477,95.0
1479,92.0
1493,145.0
1495,149.0
1496,112.0
1500,109.0
1506,119.0
1513,146.0
1530,146.0
1551,132.0
1557,166.0
1559,166.0
1560,172.0
1562,171.0
1563,177.0
1626,169.0
1791,152.0
1797,262.0
1798,262.0
1799,110.0
1801,139.0
1820,120.0
1902,105.0
1904,97.0
1906,114.0
1914,124.0
1931,132.0
1935,133.0
1937,126.0
1939,98.0
1940,124.0
1957,132.0
1961,133.0
1963,126.0
1965,98.0
1978,165.0
1979,155.0
1980,143.0
1981,141.0
1989,149.0
1994,149.0
1995,114.0
1996,139.0
1999,144.0
2000,144.0
2001,117.0
2002,117.0
2012,138.0
2013,138.0
2014,138.0
2015,99.0
2017,99.0
2018,99.0
2019,99.0
2020,99.0
2021,99.0
2022,120.0
2023,120.0
2024,120.0
2025,120.0
2033,137.0
2034,137.0
2035,137.0
2036,137.0
2037,137.0
2038,137.0
2039,114.0
2040,117.0
2041,117.0
2042,109.0
2043,112.0
2044,112.0
2051,146.0
2052,146.0
2053,146.0
2054,169.0
2055,169.0
2077,136.0
2078,139.0
2079,139.0
2080,167.0
2084,189.0
2089,149.0
2091,149.0
2093,119.0
2095,119.0
2115,115.0
2117,154.0
2118,179.0
2124,149.0
2126,149.0
2136,179.0
2138,179.0
2151,159.0
2155,189.0
2156,194.0
2290,195.0
2298,199.0
2306,128.0
2307,129.0
2308,131.0
2309,136.0
2310,145.0
2311,148.0
2312,150.0
2315,193.0
2316,168.0
2317,175.0
2318,179.0
2330,129.0
2331,126.0
2332,123.0
2341,235.0
2342,110.0
2343,129.0
2344,108.0
2345,140.0
2349,114.0
2352,139.0
2359,143.0
2368,149.0
2373,149.0
2378,140.0
2379,154.0
2383,149.0
2390,142.0
2391,142.0
2392,157.0
2394,265.0
2395,265.0
2396,263.0
2397,282.0
2398,307.0
2403,246.0
2404,248.0
2405,246.0
2406,248.0
2407,255.0
2408,246.0
2409,248.0
2410,246.0
2411,248.0
2412,264.0
2413,275.0
2414,235.0
2415,235.0
2419,234.0
2420,209.0
2421,213.0
2422,259.0
2423,270.0
2425,283.0
2426,270.0
2433,207.0
2434,224.0
2435,229.0
2442,270.0
2443,270.0
2450,224.0
2451,224.0
2452,234.0
2453,234.0
2454,292.0
2456,292.0
2457,292.0
2459,292.0
2460,264.0
2461,264.0
2462,328.0
2474,224.0
2475,322.0
2477,322.0
2501,199.0
2508,199.0
2509,298.0
2510,298.0
2511,249.0
2512,249.0
2528,327.0
2529,329.0
2535,328.0
2541,327.0
2561,256.0
2562,263.0
2584,265.0
2585,273.0
2595,149.0
2596,154.0
2601,149.0
2602,154.0
2604,140.0
2610,130.0
2611,135.0
2612,140.0
2614,140.0
2620,144.0
2621,134.0
2622,138.0
2626,99.0
2627,99.0
2628,125.0
2629,105.0
2630,109.0
2631,100.0
2640,150.0
2641,128.0
2642,130.0
2643,114.0
2644,114.0
2651,149.0
2662,149.0
2665,140.0
2667,139.0
2668,154.0
2669,225.0
2678,155.0
2696,150.0
2697,150.0
2698,370.0
2699,370.0
2700,341.0
2701,341.0
2702,315.0
2703,315.0
2704,351.0
2705,325.0
2706,354.0
2707,330.0
2708,354.0
2709,330.0
2710,344.0
2711,319.0
2712,350.0
2713,327.0
2714,146.0
2740,221.0
2742,130.0
2743,140.0
2746,219.0
2747,227.0
2748,229.0
2754,252.0
2755,115.0
2756,120.0
2759,97.0
2760,95.0
2762,99.0
2763,97.0
2810,207.0
2811,209.0
2812,211.0
2819,270.0
2841,194.0
2851,213.0
2858,379.0
2860,379.0
2866,379.0
2868,379.0
2886,261.0
2888,249.0
2890,249.0
2897,274.0
2899,263.0
2921,250.0
2940,149.0
2941,175.0
2944,217.0
2948,210.0
2952,229.0
2956,224.0
2960,236.0
2961,236.0
2966,337.0
2967,337.0
2969,330.0
2970,360.0
2971,337.0
2972,331.0
