,CO2
1268,179.0
1269,172.0
1270,172.0
1271,199.0
1272,179.0
1273,172.0
1274,172.0
1275,172.0
1276,179.0
1277,172.0
1278,172.0
1279,119.0
1280,107.0
1281,119.0
1286,118.0
1287,118.0
1296,132.0
1297,130.0
1298,135.0
1299,126.0
1302,116.0
1305,116.0
1306,109.0
1307,109.0
1308,99.0
1311,99.0
1312,99.0
1316,99.0
1317,105.0
1326,150.0
1327,139.0
1328,139.0
1329,154.0
1330,148.0
1332,139.0
1333,134.0
1334,119.0
1336,229.0
1337,195.0
1338,195.0
1339,195.0
1340,195.0
1341,195.0
1342,195.0
1343,195.0
1344,195.0
1345,199.0
1346,199.0
1347,199.0
1348,229.0
1349,229.0
1363,199.0
1365,199.0
1421,110.0
1438,104.0
1459,110.0
1472,104.0
1480,105.0
1482,109.0
1484,105.0
1485,110.0
1489,114.0
1491,110.0
1508,117.0
1510,122.0
1532,129.0
1536,115.0
1537,120.0
1541,129.0
1545,125.0
1546,122.0
1547,139.0
1553,135.0
1555,135.0
1564,138.0
1565,138.0
1568,145.0
1569,150.0
1570,158.0
1571,150.0
1572,150.0
1575,156.0
1576,157.0
1577,163.0
1628,133.0
1629,133.0
1630,145.0
1631,138.0
1632,138.0
1633,148.0
1636,145.0
1637,150.0
1638,158.0
1644,141.0
1645,152.0
1646,163.0
1647,186.0
1649,173.0
1651,186.0
1653,180.0
1659,173.0
1661,167.0
1666,186.0
1668,173.0
1670,186.0
1672,180.0
1676,173.0
1678,167.0
1682,207.0
1684,181.0
1686,210.0
1688,184.0
1690,182.0
1692,166.0
1696,186.0
1698,186.0
1699,186.0
1700,180.0
1702,186.0
1704,186.0
1706,186.0
1707,180.0
1712,180.0
1715,180.0
1716,180.0
1718,174.0
1722,186.0
1724,186.0
1725,180.0
1727,186.0
1729,186.0
1730,180.0
1734,180.0
1736,180.0
1737,180.0
1741,174.0
1747,207.0
1749,207.0
1750,210.0
1752,210.0
1754,182.0
1756,182.0
1757,174.0
1759,186.0
1760,186.0
1762,180.0
1765,186.0
1766,186.0
1767,180.0
1769,182.0
1786,107.0
1788,119.0
1789,119.0
1790,107.0
1792,169.0
1793,169.0
1794,169.0
1795,169.0
1796,194.0
1802,128.0
1908,104.0
1910,109.0
1912,125.0
1932,112.0
1934,110.0
1936,90.0
1958,112.0
1960,110.0
1962,90.0
1966,183.0
1968,183.0
1970,183.0
1972,183.0
1974,183.0
1976,183.0
1986,128.0
1988,129.0
1991,141.0
1992,139.0
1997,104.0
1998,109.0
2003,117.0
2004,112.0
2005,117.0
2006,112.0
2007,129.0
2008,144.0
2009,144.0
2010,129.0
2011,144.0
2026,87.0
2027,87.0
2028,95.0
2030,95.0
2031,98.0
2032,98.0
2045,99.0
2046,99.0
2047,99.0
2048,88.0
2049,88.0
2050,88.0
2056,109.0
2057,109.0
2058,109.0
2059,109.0
2060,109.0
2061,109.0
2062,124.0
