,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
510,190.0,1475,4,0,0,3
511,225.0,1530,4,4,1,3
512,225.0,1545,4,4,0,3
513,225.0,1665,4,2,1,3
514,225.0,1675,4,2,0,3
515,235.0,1590,4,0,0,3
516,235.0,1520,4,0,0,3
517,235.0,1505,4,0,1,3
518,235.0,1595,4,0,0,3
519,100.0,1545,4,1,0,5
520,100.0,1545,4,1,0,5
521,100.0,1525,4,1,1,5
522,100.0,1525,4,1,1,5
528,100.0,1480,4,0,0,5
529,100.0,1480,4,0,0,5
530,100.0,1460,4,0,1,5
531,100.0,1460,4,0,1,5
544,105.0,1505,4,1,1,5
545,105.0,1535,4,1,0,5
552,135.0,1635,4,0,0,5
553,135.0,1635,4,0,0,5
558,125.0,1670,4,2,1,5
559,125.0,1700,4,2,0,5
562,125.0,1435,4,4,1,5
563,125.0,1465,4,4,0,5
568,135.0,1560,4,0,0,5
569,135.0,1560,4,1,0,5
570,135.0,1540,4,0,1,5
571,135.0,1540,4,1,1,5
572,135.0,1635,4,1,0,5
573,135.0,1635,4,1,0,5
574,135.0,1615,4,1,1,5
575,135.0,1615,4,1,1,5
582,125.0,1505,4,1,1,5
583,125.0,1535,4,1,0,5
589,135.0,1495,4,0,0,5
590,135.0,1495,4,0,0,5
591,135.0,1475,4,0,1,5
592,135.0,1475,4,0,1,5
593,135.0,1565,4,0,0,5
594,135.0,1565,4,0,0,5
595,135.0,1545,4,0,1,5
596,135.0,1545,4,0,1,5
607,125.0,1465,4,0,1,5
608,160.0,1730,4,2,1,5
609,160.0,1760,4,2,0,5
612,160.0,1505,4,4,1,5
613,160.0,1535,4,4,0,5
614,160.0,1605,4,4,1,5
615,160.0,1625,4,4,0,5
619,160.0,1565,4,1,1,5
620,160.0,1595,4,4,0,5
621,160.0,1715,4,1,1,5
622,160.0,1735,4,1,0,5
626,180.0,1680,4,1,0,5
627,180.0,1660,4,1,1,5
628,180.0,1530,4,0,0,5
629,180.0,1505,4,0,1,5
630,180.0,1610,4,0,0,5
631,180.0,1595,4,0,1,5
632,200.0,1780,4,2,1,5
633,200.0,1795,4,2,0,5
636,200.0,1640,4,4,1,5
637,200.0,1655,4,4,0,5
638,200.0,1540,4,4,1,5
639,200.0,1555,4,4,0,5
645,200.0,1715,4,1,1,5
646,200.0,1735,4,1,0,5
647,200.0,1615,4,1,1,5
648,200.0,1630,4,1,0,5
654,225.0,1810,4,2,1,5
655,225.0,1825,4,2,0,5
656,225.0,1680,4,4,1,5
657,225.0,1695,4,4,0,5
658,225.0,1600,4,4,1,5
659,225.0,1615,4,4,0,5
661,225.0,1660,4,1,0,5
662,225.0,1650,4,1,1,5
663,225.0,1730,4,1,0,5
664,225.0,1735,4,1,1,5
665,225.0,1750,4,1,0,5
666,225.0,1670,4,1,1,5
667,225.0,1685,4,1,0,5
669,225.0,1595,4,0,0,5
670,225.0,1585,4,0,1,5
671,225.0,1665,4,0,0,5
672,225.0,1655,4,0,1,5
679,135.0,1790,4,1,0,2
680,135.0,1790,4,1,0,2
681,135.0,1790,4,1,0,2
682,135.0,1780,4,1,1,2
683,135.0,1780,4,1,1,2
684,135.0,1780,4,1,1,2
692,135.0,1685,4,0,0,2
693,135.0,1685,4,0,0,2
694,135.0,1685,4,0,0,2
695,135.0,1670,4,0,1,2
696,135.0,1670,4,0,1,2
697,135.0,1670,4,0,1,2
717,180.0,1800,4,1,0,2
718,180.0,1800,4,1,0,2
719,180.0,1800,4,1,0,2
720,180.0,1790,4,1,1,2
721,180.0,1790,4,1,1,2
722,180.0,1790,4,1,1,2
723,180.0,1880,4,1,0,2
724,180.0,1880,4,1,0,2
725,180.0,1880,4,1,0,2
726,180.0,1695,4,0,0,2
727,180.0,1695,4,0,0,2
728,180.0,1695,4,0,0,2
729,180.0,1685,4,0,1,2
730,180.0,1685,4,0,1,2
731,180.0,1685,4,0,1,2
732,180.0,1780,4,0,0,2
733,180.0,1780,4,0,0,2
734,180.0,1780,4,0,0,2
738,200.0,1820,4,1,0,2
739,200.0,1820,4,1,0,2
740,200.0,1820,4,1,0,2
741,200.0,1800,4,1,1,2
742,200.0,1800,4,1,1,2
743,200.0,1800,4,1,1,2
759,200.0,1730,4,0,0,2
760,200.0,1730,4,0,0,2
761,200.0,1730,4,0,0,2
762,200.0,1710,4,0,1,2
763,200.0,1710,4,0,1,2
764,200.0,1710,4,0,1,2
769,225.0,1845,4,1,0,2
770,225.0,1845,4,1,0,2
771,225.0,1845,4,1,0,2
772,225.0,1840,4,1,1,2
773,225.0,1840,4,1,1,2
774,225.0,1840,4,1,1,2
775,225.0,1915,4,0,0,2
776,225.0,1915,4,0,0,2
777,225.0,1915,4,0,0,2
784,225.0,1775,4,0,0,2
785,225.0,1775,4,0,0,2
786,225.0,1775,4,0,0,2
787,225.0,1760,4,0,1,2
788,225.0,1760,4,0,1,2
789,225.0,1760,4,0,1,2
790,225.0,1840,4,0,0,2
791,225.0,1840,4,0,0,2
792,225.0,1840,4,0,0,2
799,225.0,2015,4,0,0,2
801,225.0,2070,4,0,0,2
805,300.0,1975,4,1,0,2
806,300.0,1975,4,1,0,2
808,300.0,1905,4,0,0,2
809,300.0,1905,4,0,0,2
810,300.0,1975,4,0,0,2
811,300.0,1975,4,0,0,2
813,330.0,2145,4,0,0,2
814,300.0,2135,4,0,0,2
815,330.0,2215,4,0,0,2
816,300.0,2205,4,0,0,2
820,235.0,1900,4,4,0,2
822,235.0,1900,4,4,0,2
823,235.0,1735,4,4,0,2
824,235.0,1735,4,4,0,2
825,235.0,1735,4,4,0,2
826,235.0,1915,4,2,0,2
827,235.0,1915,4,2,0,2
828,235.0,1915,4,2,0,2
832,235.0,1840,4,4,0,2
834,235.0,1840,4,4,0,2
844,235.0,1985,4,2,0,2
846,235.0,1985,4,2,0,2
847,330.0,1940,4,4,0,2
848,330.0,1940,4,4,0,2
849,330.0,2015,4,4,0,2
850,330.0,2015,4,4,0,2
851,300.0,1845,4,4,0,2
852,300.0,1845,4,4,0,2
853,300.0,1920,4,4,0,2
854,300.0,1920,4,4,0,2
855,300.0,2015,4,2,0,2
856,300.0,2015,4,2,0,2
857,300.0,2055,4,2,0,2
858,300.0,2055,4,2,0,2
859,330.0,1930,4,4,0,2
860,330.0,1930,4,4,0,2
861,330.0,1870,4,4,0,2
862,330.0,1870,4,4,0,2
863,330.0,2055,4,2,0,2
864,330.0,2055,4,2,0,2
865,330.0,2015,4,2,0,2
866,330.0,2015,4,2,0,2
872,240.0,1935,4,0,0,2
873,240.0,1970,4,0,0,2
876,235.0,1900,4,0,0,2
879,235.0,1920,4,0,0,2
880,300.0,2020,4,0,0,2
881,300.0,2055,4,0,0,2
882,300.0,2105,4,0,0,2
883,300.0,2135,4,0,0,2
884,330.0,2015,4,0,0,2
885,330.0,2075,4,0,0,2
887,330.0,2035,4,0,0,2
889,330.0,2110,4,0,0,2
890,400.0,2180,4,0,0,2
891,400.0,2250,4,0,0,2
894,309.0,1655,4,4,1,5
895,309.0,1885,4,2,1,5
896,309.0,1905,4,2,0,5
898,309.0,1675,4,4,0,5
899,412.0,1945,4,0,0,2
900,412.0,1950,4,0,0,2
909,110.0,1530,4,9,0,4
910,110.0,1505,4,9,1,4
911,135.0,1585,4,9,0,4
912,135.0,1560,4,9,1,4
913,180.0,1670,4,9,0,4
914,180.0,1655,4,9,1,4
917,135.0,1665,4,9,0,4
918,135.0,1650,4,9,1,4
939,135.0,1780,4,9,0,5
940,135.0,1770,4,9,1,5
941,190.0,1820,4,9,0,5
942,225.0,1880,4,9,0,5
949,408.0,2380,4,9,0,2
950,225.0,2145,4,9,0,2
951,300.0,2265,4,9,0,2
961,115.0,1495,4,2,0,5
962,115.0,1470,4,2,1,5
963,135.0,1495,4,2,0,5
964,135.0,1470,4,2,1,5
965,180.0,1495,4,2,0,5
966,180.0,1475,4,2,1,5
967,250.0,1600,4,2,0,5
968,225.0,1580,4,2,1,5
969,225.0,1600,4,2,0,5
970,203.0,1689,5,4,0,5
974,203.0,1613,5,4,0,5
977,203.0,1631,5,4,1,5
986,203.0,1837,5,4,0,5
987,203.0,1845,5,4,0,5
988,237.0,1862,5,4,0,5
989,237.0,1938,5,4,0,5
990,237.0,1955,5,4,0,5
991,415.0,1975,5,0,1,5
992,415.0,1990,5,0,0,5
993,203.0,1905,5,1,0,5
994,203.0,1955,5,1,0,5
995,237.0,1862,5,1,0,5
996,237.0,2010,5,1,0,5
997,415.0,2028,5,1,1,5
998,415.0,2043,5,1,0,5
999,237.0,1872,5,4,0,5
1000,237.0,1959,5,4,0,5
1001,415.0,1971,5,4,1,5
1002,415.0,1986,5,4,0,5
1003,301.0,2684,5,9,0,2
1006,234.0,2074,5,9,0,2
1012,199.0,2074,5,9,0,2
1014,51.0,1145,6,0,1,1
1015,63.0,1145,6,0,1,1
1016,74.0,1192,6,0,0,1
1017,74.0,1164,6,0,1,1
1020,51.0,1160,6,0,1,1
1021,63.0,1160,6,0,1,1
1022,74.0,1204,6,0,0,1
1023,74.0,1184,6,0,1,1
