"Marque;Carburant;puiss_max;masse_ordma_min;Carrosserie;boite;gamme2;CO2;Cat_CO2"
"AUDI;GO;105.0;1265;BERLINE;M;INFERIEURE;108.0;B"
"AUDI;ES;103.0;1195;BERLINE;A;INFERIEURE;109.0;B"
"AUDI;ES;103.0;1185;BERLINE;M;INFERIEURE;109.0;B"
"AUDI;ES;136.0;1290;BERLINE;A;INFERIEURE;139.0;C"
"AUDI;ES;90.0;1225;BERLINE;A;INFERIEURE;122.0;C"
"AUDI;ES;90.0;1200;BERLINE;M;INFERIEURE;126.0;C"
"AUDI;GO;66.0;1260;BERLINE;A;INFERIEURE;110.0;B"
"AUDI;GO;66.0;1235;BERLINE;M;INFERIEURE;99.0;A"
"AUDI;GO;77.0;1240;BERLINE;M;INFERIEURE;99.0;A"
"AUDI;ES;63.0;1140;BERLINE;M;INFERIEURE;118.0;B"
"AUDI;GO;105.0;1290;BERLINE;M;INFERIEURE;108.0;B"
"AUDI;ES;103.0;1220;BERLINE;A;INFERIEURE;113.0;B"
"AUDI;ES;103.0;1210;BERLINE;M;INFERIEURE;113.0;B"
"AUDI;ES;188.0;1465;BERLINE;M;INFERIEURE;199.0;E"
"AUDI;ES;92.0;1485;CABRIOLET;M;MOY-INFERIEURE;139.0;C"
"AUDI;GO;77.0;1505;CABRIOLET;M;MOY-INFERIEURE;114.0;B"
"AUDI;ES;77.0;1435;CABRIOLET;M;MOY-INFERIEURE;132.0;C"
"AUDI;ES;147.0;1560;CABRIOLET;A;MOY-INFERIEURE;171.0;E"
"AUDI;ES;147.0;1510;CABRIOLET;M;MOY-INFERIEURE;169.0;E"
"AUDI;ES;118.0;1525;CABRIOLET;A;MOY-INFERIEURE;154.0;D"
"AUDI;ES;118.0;1500;CABRIOLET;M;MOY-INFERIEURE;156.0;D"
"AUDI;GO;100.0;1570;CABRIOLET;A;MOY-INFERIEURE;134.0;C"
"AUDI;GO;100.0;1550;CABRIOLET;M;MOY-INFERIEURE;119.0;B"
"AUDI;ES;132.0;1325;BERLINE;A;MOY-INFERIEURE;130.0;C"
"AUDI;ES;132.0;1305;BERLINE;M;MOY-INFERIEURE;135.0;C"
"AUDI;ES;132.0;1425;BERLINE;A;MOY-INFERIEURE;152.0;D"
"AUDI;ES;221.0;1490;BERLINE;A;MOY-INFERIEURE;159.0;D"
"AUDI;ES;221.0;1470;BERLINE;M;MOY-INFERIEURE;162.0;E"
"AUDI;ES;77.0;1245;BERLINE;A;MOY-INFERIEURE;112.0;B"
"AUDI;ES;77.0;1225;BERLINE;M;MOY-INFERIEURE;114.0;B"
"AUDI;GO;77.0;1325;BERLINE;A;MOY-INFERIEURE;102.0;B"
"AUDI;GO;77.0;1305;BERLINE;M;MOY-INFERIEURE;99.0;A"
"AUDI;ES;90.0;1250;BERLINE;M;MOY-INFERIEURE;120.0;B"
"AUDI;ES;103.0;1280;BERLINE;A;MOY-INFERIEURE;110.0;B"
"AUDI;ES;103.0;1270;BERLINE;M;MOY-INFERIEURE;109.0;B"
"AUDI;GO;110.0;1370;BERLINE;A;MOY-INFERIEURE;117.0;B"
"AUDI;GO;110.0;1355;BERLINE;M;MOY-INFERIEURE;106.0;B"
"AUDI;GO;110.0;1435;BERLINE;M;MOY-INFERIEURE;122.0;C"
"AUDI;ES;132.0;1355;BERLINE;A;MOY-INFERIEURE;130.0;C"
"AUDI;GO;77.0;1355;BERLINE;A;MOY-INFERIEURE;102.0;B"
"AUDI;GO;77.0;1335;BERLINE;M;MOY-INFERIEURE;99.0;A"
"AUDI;ES;90.0;1300;BERLINE;A;MOY-INFERIEURE;116.0;B"
"AUDI;ES;90.0;1280;BERLINE;M;MOY-INFERIEURE;120.0;B"
"AUDI;ES;103.0;1310;BERLINE;A;MOY-INFERIEURE;110.0;B"
"AUDI;ES;103.0;1300;BERLINE;M;MOY-INFERIEURE;112.0;B"
"AUDI;GO;110.0;1395;BERLINE;A;MOY-INFERIEURE;119.0;B"
"AUDI;GO;110.0;1385;BERLINE;M;MOY-INFERIEURE;108.0;B"
