,puiss_max,masse_ordma_min,Marque,Carburant,Carrosserie,boite,gamme2
300,309.0,2025,2,0,1,0,2
302,130.0,1715,2,1,1,1,2
304,100.0,1715,2,1,1,1,2
305,230.0,1930,2,1,1,0,2
306,228.0,1865,2,0,1,0,2
308,150.0,1705,2,0,1,1,2
309,150.0,1805,2,0,1,0,2
310,180.0,1900,2,1,1,0,2
311,150.0,1865,2,1,1,0,2
313,150.0,1765,2,1,1,1,2
314,412.0,2010,2,0,1,0,2
315,180.0,1930,2,1,9,0,2
316,230.0,1985,2,1,9,0,2
317,228.0,1930,2,0,9,0,2
318,180.0,1955,2,1,9,0,2
319,150.0,1930,2,1,9,0,2
321,132.0,1615,2,0,0,1,2
322,180.0,1795,2,1,0,0,2
323,309.0,1970,2,0,0,0,2
325,130.0,1650,2,1,0,1,2
327,100.0,1650,2,1,0,1,2
328,230.0,1865,2,1,0,0,2
329,228.0,1815,2,0,0,0,2
331,150.0,1645,2,0,0,1,2
332,150.0,1850,2,0,0,0,2
333,180.0,1835,2,1,0,0,2
334,150.0,1795,2,1,0,0,2
336,150.0,1700,2,1,0,1,2
337,180.0,1860,2,1,0,0,2
338,309.0,2020,2,0,4,0,2
339,230.0,1925,2,1,0,0,2
340,220.0,1860,2,0,0,0,2
341,228.0,1860,2,0,0,0,2
343,150.0,1865,2,0,0,0,2
344,180.0,1895,2,1,0,0,2
345,150.0,1860,2,1,0,0,2
347,412.0,1995,2,0,0,0,2
350,258.0,2120,2,1,0,0,2
351,184.0,1965,2,1,0,0,2
352,368.0,2130,2,0,0,0,2
353,309.0,2020,2,0,0,0,2
354,213.0,1955,2,0,0,0,2
355,150.0,1920,2,1,0,0,2
356,184.0,2005,2,1,0,0,2
357,258.0,2070,2,1,0,0,2
358,184.0,1915,2,1,0,0,2
359,309.0,1970,2,0,0,0,2
360,382.0,2050,2,0,0,0,2
361,213.0,1905,2,0,0,0,2
362,150.0,1870,2,1,0,0,2
363,184.0,1955,2,1,0,0,2
364,125.0,1630,2,0,9,0,5
365,103.0,1520,2,1,9,1,5
366,103.0,1645,2,1,9,0,5
367,103.0,1610,2,1,9,1,5
368,130.0,1565,2,1,9,1,5
369,130.0,1660,2,1,9,0,5
370,130.0,1650,2,1,9,1,5
371,155.0,1640,2,0,9,0,5
373,180.0,1935,2,1,9,0,5
374,130.0,1895,2,1,9,0,5
375,130.0,1830,2,1,9,1,5
376,230.0,1995,2,1,9,0,5
377,110.0,1755,2,1,9,1,5
378,110.0,1830,2,1,9,1,5
379,132.0,1795,2,0,9,1,5
380,165.0,1830,2,0,9,0,5
381,165.0,1795,2,0,9,1,5
382,250.0,2515,2,1,9,0,2
383,150.0,2375,2,1,9,0,2
384,245.0,2345,2,0,9,0,2
385,200.0,2325,2,0,9,0,2
386,180.0,2375,2,1,9,0,2
387,316.0,1660,2,0,4,0,2
388,316.0,1635,2,0,4,1,2
389,404.0,1670,2,0,4,0,2
390,404.0,1645,2,0,4,1,2
391,386.0,1720,2,0,4,0,2
392,386.0,1695,2,0,4,1,2
393,316.0,1760,2,0,4,0,2
394,316.0,1735,2,0,4,1,2
395,386.0,1820,2,0,4,0,2
396,386.0,1795,2,0,4,1,2
397,118.0,1355,2,0,4,0,2
398,118.0,1335,2,0,4,1,2
399,200.0,1505,2,0,4,0,2
400,200.0,1485,2,0,4,1,2
401,250.0,1550,2,0,4,0,2
402,250.0,1525,2,0,4,1,2
403,265.0,1550,2,0,4,0,2
404,265.0,1525,2,0,4,1,2
405,155.0,1375,2,0,4,0,2
406,155.0,1355,2,0,4,1,2
407,155.0,1455,2,0,4,0,2
408,125.0,1490,2,1,4,0,2
409,125.0,1465,2,1,4,1,2
410,118.0,1395,2,0,4,0,2
411,118.0,1380,2,0,4,1,2
412,200.0,1570,2,0,4,0,2
413,200.0,1550,2,0,4,1,2
414,250.0,1610,2,0,4,0,2
415,250.0,1585,2,0,4,1,2
416,265.0,1610,2,0,4,0,2
417,265.0,1585,2,0,4,1,2
418,155.0,1395,2,0,4,0,2
419,155.0,1390,2,0,4,1,2
420,155.0,1500,2,0,4,0,2
421,125.0,1535,2,1,4,0,2
422,125.0,1505,2,1,4,1,2
423,460.0,2395,3,0,4,0,2
425,423.0,2395,3,0,4,0,2
427,373.0,2370,3,0,4,0,2
429,460.0,2570,3,0,4,0,2
431,423.0,2570,3,0,2,0,2
433,373.0,2545,3,0,2,0,2
435,460.0,2565,3,0,0,0,2
437,460.0,2550,3,0,0,0,2
439,373.0,2505,3,0,0,0,2
441,373.0,2492,3,0,0,0,2
443,377.0,2760,3,0,0,0,2
445,70.0,1380,4,1,0,1,3
446,75.0,1365,4,0,0,1,3
447,75.0,1365,4,0,0,1,3
448,70.0,1385,4,1,0,1,3
449,90.0,1320,4,0,0,1,3
450,90.0,1350,4,0,0,0,3
451,85.0,1370,4,1,0,1,3
452,100.0,1385,4,0,0,0,3
453,100.0,1365,4,0,0,1,3
454,160.0,1440,4,0,0,0,3
455,160.0,1420,4,0,0,1,3
456,85.0,1420,4,1,0,0,3
457,85.0,1385,4,1,0,1,3
458,105.0,1495,4,0,0,1,3
459,105.0,1520,4,0,0,0,3
460,105.0,1560,4,1,2,1,3
461,105.0,1575,4,1,2,0,3
462,105.0,1395,4,1,4,1,3
463,105.0,1420,4,1,4,0,3
464,125.0,1390,4,0,0,0,3
465,125.0,1370,4,0,0,1,3
466,105.0,1385,4,1,0,1,3
467,105.0,1410,4,1,0,0,3
468,105.0,1340,4,0,0,1,3
469,105.0,1365,4,0,0,0,3
471,125.0,1370,4,0,0,1,3
472,105.0,1420,4,1,0,0,3
473,105.0,1395,4,1,0,1,3
474,125.0,1375,4,0,4,1,3
475,125.0,1395,4,0,4,0,3
476,125.0,1505,4,0,2,1,3
477,125.0,1535,4,0,2,0,3
478,130.0,1580,4,1,2,1,3
479,130.0,1590,4,1,2,0,3
480,130.0,1450,4,1,4,1,3
481,130.0,1450,4,1,4,0,3
482,135.0,1415,4,1,0,1,3
483,135.0,1415,4,1,0,1,3
484,135.0,1495,4,1,0,1,3
485,135.0,1495,4,1,0,1,3
486,125.0,1365,4,0,0,1,3
487,125.0,1385,4,0,0,0,3
488,130.0,1440,4,1,0,1,3
489,130.0,1440,4,1,0,0,3
490,135.0,1500,4,1,0,1,3
491,135.0,1500,4,1,0,1,3
492,135.0,1440,4,1,0,0,3
493,135.0,1440,4,1,0,0,3
494,135.0,1420,4,1,0,1,3
495,135.0,1420,4,1,0,1,3
496,160.0,1480,4,1,0,0,3
497,160.0,1465,4,1,0,1,3
498,150.0,1615,4,1,2,1,3
499,150.0,1615,4,1,2,0,3
500,150.0,1495,4,1,4,1,3
501,150.0,1495,4,1,4,0,3
502,150.0,1485,4,1,0,1,3
503,150.0,1485,4,1,0,0,3
504,160.0,1480,4,0,4,1,3
505,160.0,1505,4,0,4,0,3
506,160.0,1585,4,0,0,1,3
507,160.0,1615,4,0,2,0,3
508,85.0,1385,4,1,0,1,3
509,190.0,1450,4,0,0,1,3
510,190.0,1475,4,0,0,0,3
511,225.0,1530,4,0,4,1,3
512,225.0,1545,4,0,4,0,3
513,225.0,1665,4,0,2,1,3
514,225.0,1675,4,0,2,0,3
515,235.0,1590,4,0,0,0,3
516,235.0,1520,4,0,0,0,3
517,235.0,1505,4,0,0,1,3
518,235.0,1595,4,0,0,0,3
519,100.0,1545,4,0,1,0,5
520,100.0,1545,4,0,1,0,5
521,100.0,1525,4,0,1,1,5
522,100.0,1525,4,0,1,1,5
523,85.0,1570,4,1,1,0,5
524,85.0,1570,4,1,1,0,5
525,85.0,1550,4,1,1,1,5
526,85.0,1550,4,1,1,1,5
528,100.0,1480,4,0,0,0,5
529,100.0,1480,4,0,0,0,5
530,100.0,1460,4,0,0,1,5
531,100.0,1460,4,0,0,1,5
532,85.0,1505,4,1,0,0,5
533,85.0,1505,4,1,0,0,5
