,Cat_CO2
990,F
991,G
992,G
993,G
994,G
995,F
996,G
997,G
998,G
999,G
1000,G
1001,G
1002,G
1003,G
1006,G
1012,G
1014,C
1015,C
1016,D
1017,C
1018,A
1019,A
1020,C
1021,C
1022,D
1023,C
1024,A
1025,A
1026,G
1027,G
1028,G
1029,G
1030,E
1031,E
1032,F
1033,E
1034,G
1036,G
1037,G
1038,G
1039,G
1040,G
1041,G
1042,G
1043,G
1044,G
1045,G
1046,G
1047,D
1048,E
1049,C
1050,B
1051,C
1052,D
1053,E
1054,C
1055,B
1056,D
1057,E
1058,C
1059,B
1060,C
1061,D
1062,C
1063,E
1064,E
1065,C
1066,C
1067,D
1068,B
1069,B
1070,D
1071,D
1072,E
1073,C
1074,B
1075,C
1077,D
1078,E
1079,C
1080,C
1081,C
1082,C
1083,B
1084,D
1085,D
1087,B
1088,B
1089,A
1090,B
1091,B
1092,A
1093,C
1094,C
1095,D
1096,D
1097,C
1098,C
1099,C
1100,C
1101,A
1102,A
1103,A
1104,B
1105,B
1106,B
1107,A
1108,B
1109,B
1110,A
1111,A
1112,A
1113,A
1114,A
1115,B
1116,B
1117,B
1118,B
1119,A
1120,D
1121,D
1122,C
1123,C
1124,D
1125,C
1126,C
1127,B
1128,B
1129,B
1130,B
1131,B
1132,D
1133,D
1134,E
1135,D
1136,D
1137,D
1138,D
1139,C
1140,A
1141,A
1142,A
1143,A
1144,A
1145,B
1146,B
1147,B
1148,B
1149,C
1150,C
1151,D
1152,D
1153,B
1154,C
1155,C
1156,C
1157,D
1158,D
1159,C
1160,B
1161,B
1162,B
1163,B
1164,A
1165,C
1166,C
1167,C
1168,C
1169,C
1170,B
1171,C
1172,C
1173,C
1174,C
1175,C
1176,C
1177,E
1178,D
1179,C
1180,C
1181,C
1182,C
1183,C
1184,B
1185,C
1186,C
1187,D
1188,D
1189,D
1190,E
1191,B
1192,C
1193,C
1194,C
1195,E
1196,E
1197,D
1198,D
1199,D
1200,E
1201,B
1202,C
1203,C
1204,C
1205,E
1206,E
1207,D
1208,D
1209,E
1210,D
1211,C
1212,C
1213,D
1214,D
1215,C
1216,C
1217,C
1218,C
1219,C
1220,B
1221,B
1222,B
1223,A
1224,A
1225,A
1226,A
1227,A
1228,A
1229,B
1230,B
1231,B
1232,C
1233,D
1234,C
1235,A
1236,B
1237,B
1238,E
1239,D
1240,D
1241,C
1242,B
1243,B
1244,B
1245,B
1246,C
1247,D
1248,D
1249,E
1250,E
1251,B
1254,C
1255,C
1257,D
1258,D
1259,E
1260,E
1261,E
1262,E
1263,E
1264,E
1265,E
1266,E
1267,E
1268,E
1269,E
1270,E
1271,E
1272,E
1273,E
1274,E
1275,E
1276,E
1277,E
1278,E
1279,B
1280,B
1281,B
1282,D
1283,D
1284,C
1285,E
1286,B
1287,B
1296,C
1297,C
1298,C
1299,C
1300,C
1301,E
1302,B
1303,C
1304,E
1305,B
1306,B
1307,B
1308,A
1309,B
1310,C
1311,A
1312,A
1313,B
1314,C
1315,C
1316,A
1317,B
1326,D
1327,C
1328,C
1329,D
1330,D
1332,C
1333,C
1334,B
1336,F
1337,E
1338,E
1339,E
1340,E
1341,E
1342,E
1343,E
1344,E
1345,E
1346,E
1347,E
1348,F
1349,F
1363,E
1365,E
1366,G
1367,G
1370,G
1371,G
1374,G
1375,G
1378,G
1379,G
1382,G
1383,G
1384,G
1385,G
1387,B
1388,B
1390,B
1391,B
1393,B
1396,B
1400,B
1420,B
1421,B
1422,C
1423,C
1424,C
1426,C
1427,C
1429,D
1431,C
1434,C
1436,D
1437,D
1438,B
1440,A
1441,A
1442,A
1443,A
1445,A
1446,A
1447,A
1448,A
1449,A
1450,B
1451,B
1453,B
1455,B
1457,B
1458,B
1459,B
1460,C
1461,C
1463,C
1464,C
1466,D
1467,C
1470,C
1472,B
1474,A
1475,A
1476,A
1477,A
1479,A
1480,B
1482,B
1484,B
1485,B
1489,B
1491,B
1493,D
1495,D
1496,B
1500,B
1506,B
1508,B
1510,C
1513,D
1530,D
1532,C
1536,B
1537,B
1541,C
1545,C
1546,C
1547,C
1551,C
1553,C
1555,C
1557,E
1559,E
1560,E
1562,E
1563,E
1564,C
1565,C
1568,D
1569,D
1570,D
1571,D
1572,D
1575,D
1576,D
1577,E
1626,E
1628,C
1629,C
1630,D
1631,C
1632,C
1633,D
1636,D
1637,D
1638,D
1644,D
1645,D
1646,E
1647,E
1649,E
1651,E
1653,E
1659,E
1661,E
1666,E
1668,E
1670,E
1672,E
1676,E
1678,E
1682,F
1684,E
1686,F
1688,E
1690,E
1692,E
1696,E
1698,E
1699,E
1700,E
1702,E
1704,E
1706,E
1707,E
1712,E
1715,E
1716,E
1718,E
1722,E
1724,E
1725,E
1727,E
1729,E
1730,E
1734,E
1736,E
1737,E
1741,E
1747,F
1749,F
1750,F
1752,F
1754,E
1756,E
1757,E
1759,E
1760,E
1762,E
1765,E
1766,E
1767,E
1769,E
1786,B
1788,B
1789,B
1790,B
1791,D
1792,E
1793,E
1794,E
1795,E
1796,E
1797,G
1798,G
1799,B
1801,C
1802,C
1820,B
1902,B
1904,A
1906,B
1908,B
1910,B
1912,C
1914,C
1931,C
1932,B
1934,B
1935,C
1936,A
1937,C
1939,A
1940,C
1957,C
1958,B
1960,B
1961,C
1962,A
1963,C
1965,A
1966,E
1968,E
1970,E
1972,E
1974,E
1976,E
1978,E
1979,D
1980,D
1981,D
1986,C
1988,C
1989,D
1991,D
1992,C
1994,D
1995,B
1996,C
1997,B
1998,B
1999,D
2000,D
2001,B
2002,B
2003,B
2004,B
2005,B
2006,B
2007,C
2008,D
2009,D
2010,C
2011,D
2012,C
2013,C
2014,C
2015,A
2017,A
2018,A
2019,A
2020,A
2021,A
2022,B
2023,B
2024,B
2025,B
2026,A
2027,A
2028,A
2030,A
2031,A
2032,A
2033,C
2034,C
2035,C
2036,C
2037,C
2038,C
2039,B
2040,B
2041,B
2042,B
2043,B
2044,B
2045,A
2046,A
2047,A
2048,A
2049,A
2050,A
2051,D
2052,D
2053,D
2054,E
2055,E
2056,B
2057,B
2058,B
2059,B
2060,B
2061,B
2062,C
2063,C
2064,C
2065,C
2066,C
2067,C
2068,C
2069,C
2070,C
2071,C
2072,C
2073,C
2074,C
2075,C
2076,C
2077,C
2078,C
2079,C
2080,E
2081,E
2082,E
2083,C
2084,E
2085,C
2086,D
2087,C
2088,D
2089,D
2091,D
2093,B
2095,B
2097,C
2099,B
2101,C
2103,B
2105,C
2106,D
2109,D
2111,C
2112,D
2115,B
2116,B
2117,D
2118,E
2119,D
2120,E
2121,C
2122,D
2123,E
2124,D
2126,D
2127,E
2129,E
2130,B
2132,B
2133,C
2135,C
2136,E
2138,E
2139,D
2141,D
2142,B
2144,B
2145,D
2147,D
2148,B
2150,B
2151,D
2152,E
2153,E
2154,C
2155,E
2156,E
2157,C
2158,D
2159,C
2160,D
2161,E
2162,E
2163,E
2164,E
2165,E
2167,E
2168,E
2169,E
2171,E
2172,E
2173,E
2175,E
2176,E
2177,E
2179,E
2180,E
2181,E
2183,E
2184,E
2185,E
2188,E
2189,E
2190,E
2191,E
2194,E
2195,E
2197,E
2200,E
2201,F
2202,E
2203,E
2206,E
2207,F
2208,E
2209,E
2212,E
2213,E
2217,E
2220,E
2221,E
2224,E
2225,E
2226,E
2227,E
2228,E
2229,F
2230,E
2231,F
2232,E
2233,E
2234,E
2235,E
2236,E
2237,E
2238,E
2239,E
2240,E
2241,E
2242,E
2244,E
2245,E
2247,E
2248,F
2250,E
2251,E
2252,E
2253,F
2254,E
2255,E
2256,E
2257,E
2258,E
2259,E
2261,E
2262,E
2264,E
2265,E
2266,E
2267,E
2268,E
2269,E
2270,E
2272,E
2273,F
2274,E
2275,E
2276,E
2277,E
2278,E
2279,F
2280,E
2281,F
2282,E
2283,E
2284,E
2285,E
2286,E
2287,F
2288,E
2289,F
2290,E
2291,C
2292,E
2293,D
2295,D
2296,D
2298,E
2299,D
2300,E
2301,D
2302,D
2304,E
2306,C
2307,C
2308,C
2309,C
2310,D
2311,D
2312,D
2313,B
2314,B
2315,E
2316,E
2317,E
2318,E
2319,E
2320,E
2321,D
2322,D
2323,E
2324,E
2330,C
2331,C
2332,C
2341,F
2342,B
2343,C
2344,B
2345,C
2346,A
2347,A
2348,B
2349,B
2350,B
2351,B
2352,C
2353,B
2354,D
2356,A
2357,A
2359,D
2360,D
2361,B
2362,B
2363,B
2364,D
2365,C
2366,C
2367,B
2368,D
2369,D
2370,C
2371,C
2372,B
2373,D
2374,B
2375,B
2376,C
2377,B
2378,C
2379,D
2380,E
2381,D
2382,C
2383,D
2384,C
2385,D
2386,E
2387,D
2388,D
2389,E
2390,D
2391,D
2392,D
2393,F
2394,G
2395,G
2396,G
2397,G
2398,G
2399,F
2402,F
2403,F
2404,F
2405,F
2406,F
2407,G
2408,F
2409,F
2410,F
2411,F
2412,G
2413,G
2414,F
2415,F
2416,E
2417,E
2419,F
2420,F
2421,F
2422,G
2423,G
2425,G
2426,G
2427,D
2428,D
2429,C
2430,C
2431,C
2432,C
2433,F
2434,F
2435,F
2436,C
2437,C
2438,C
2439,C
2440,E
2441,E
2442,G
2443,G
2447,E
2448,D
2450,F
2451,F
2452,F
2453,F
2454,G
2456,G
2457,G
2459,G
2460,G
2461,G
2462,G
2464,F
2467,F
2470,E
2471,E
2472,D
2473,E
2474,F
2475,G
2477,G
2483,E
2484,E
2487,F
2488,F
2491,D
2493,E
2495,C
2497,D
2499,E
2501,E
2503,D
2504,E
2505,C
2506,D
2507,E
2508,E
2509,G
2510,G
2511,F
2512,F
2513,E
2514,E
2515,E
2516,E
2517,E
2519,E
2524,E
2526,E
2528,G
2529,G
2531,F
2532,F
2535,G
2539,E
2541,G
2549,E
2551,F
2555,F
2557,F
2561,G
2562,G
2572,F
2573,E
2577,F
2578,F
2584,G
2585,G
2591,C
2592,D
2593,C
2594,C
2595,D
2596,D
2597,C
2598,D
2599,C
2600,C
2601,D
2602,D
2603,B
2604,C
2605,B
2606,D
2608,B
2609,B
2610,C
2611,C
2612,C
2614,C
2615,B
2616,D
2617,B
2618,D
2619,B
2620,D
2621,C
2622,C
2623,D
2624,C
2626,A
2627,A
2628,C
2629,B
2630,B
2631,A
2632,A
2633,A
2634,A
2636,B
2637,B
2638,B
2639,B
2640,D
2641,C
2642,C
2643,B
2644,B
2645,D
2646,D
2647,E
2648,D
2649,D
2650,C
2651,D
2653,E
2654,E
2655,E
2656,D
2657,D
2658,C
2659,D
2660,C
2661,D
2662,D
2663,B
2664,C
2665,C
2667,C
2668,D
2669,F
2678,D
2696,D
2697,D
2698,G
2699,G
2700,G
2701,G
2702,G
2703,G
2704,G
2705,G
2706,G
2707,G
2708,G
2709,G
2710,G
2711,G
2712,G
2713,G
2714,D
2732,B
2733,C
2735,D
2736,C
2738,C
2740,F
2742,C
2743,C
2744,B
2745,B
2746,F
2747,F
2748,F
2749,E
2750,E
2751,E
2752,F
2753,F
2754,G
2755,B
2756,B
2758,A
2759,A
2760,A
2762,A
2763,A
2810,F
2811,F
2812,F
2819,G
2828,D
2834,C
2841,E
2851,F
2858,G
2860,G
2866,G
2868,G
2886,G
2888,F
2890,F
2897,G
2899,G
2921,G
2940,D
2941,E
2944,F
2948,F
2952,F
2956,F
2960,F
2961,F
2966,G
2967,G
2969,G
2970,G
2971,G
2972,G
2973,G
2974,G
2975,G
2977,G
2979,G
2981,G
2983,G
2985,G
2987,C
2988,B
2989,C
2990,D
2991,B
2992,B
2993,B
2994,F
2995,D
2996,E
2997,D
2998,B
2999,D
3000,E
3001,D
3002,C
3003,D
3011,C
3019,D
3027,C
3035,B
3043,C
3051,B
3059,C
3067,B
3075,C
3083,C
3091,C
3099,C
3100,C
3101,D
3102,E
3103,D
3104,C
3105,C
3113,B
3121,C
3129,D
3137,D
3145,C
3153,D
3161,C
3169,D
3177,E
3178,E
3179,E
3180,E
3182,E
3204,G
3206,G
3208,G
3216,G
3218,G
3220,G
3222,F
3226,F
3230,F
3234,F
3238,F
3242,F
3246,F
3250,F
3254,F
3259,F
3266,F
3268,F
3272,F
3280,F
3282,F
3290,F
3302,F
3304,F
3312,F
3314,G
3316,G
3322,F
3324,F
3326,G
3328,E
3330,G
3336,G
3338,G
3346,G
3350,G
3354,B
3356,B
3357,B
3359,B
3380,A
3383,A
3384,B
3386,B
3414,A
3418,C
3419,C
3420,C
3422,C
3438,C
3440,C
3442,C
3446,C
3472,B
3490,B
3493,B
3496,B
3508,B
3511,B
3514,C
3526,C
3527,C
3528,C
3532,C
3534,C
3536,C
3551,B
3552,B
3553,B
3561,D
3562,D
3565,D
3568,D
3571,D
3581,E
3582,E
3585,B
3586,B
3587,B
3590,B
3591,B
3593,B
3595,B
3598,C
3599,B
3600,C
3651,B
3655,B
3659,B
3663,C
3709,B
3710,B
3712,B
3725,C
3727,C
3729,D
3731,D
3753,C
3754,C
3755,C
3756,C
3757,D
3759,D
3760,C
3851,B
3853,B
3854,B
3856,B
3858,B
3861,C
3862,B
3863,C
3881,B
3882,B
3886,B
3890,C
3907,C
3909,D
3911,D
3919,C
3920,C
3921,D
3922,C
3923,D
3924,C
3931,C
3945,C
3983,B
3985,B
3987,B
4003,D
4004,D
4019,C
4021,C
4023,D
4025,D
4027,D
4063,C
4065,C
4067,C
4069,D
4071,D
4107,C
4109,C
4111,C
4113,C
4115,C
4151,C
4153,C
4155,C
4157,C
4159,C
4195,C
4197,C
4199,D
4201,D
4227,C
4229,C
4231,D
4233,D
4259,C
4261,D
4263,D
4265,D
4283,C
4285,D
4287,D
4289,D
4307,C
4309,C
4311,C
4313,D
4331,C
4333,C
4335,C
4337,D
4355,C
4357,C
4359,C
4361,C
4363,C
4399,C
4401,C
4403,C
4405,C
4407,C
4443,D
4444,D
4445,D
4446,E
4455,D
4456,D
4457,D
4458,E
4467,D
4468,D
4469,E
4477,D
4478,D
4479,E
4487,C
4489,C
4491,C
4493,D
4511,C
4513,C
4515,C
4517,D
4535,D
4536,E
4537,E
4538,E
4547,D
4548,D
4549,D
4550,E
4559,B
4562,B
4565,C
4568,C
4577,B
4599,C
4602,C
4605,C
4608,C
4617,B
4639,D
4640,D
4641,D
4642,D
4651,B
4654,C
4657,C
4681,C
4684,C
4687,C
4711,C
4714,C
4717,C
4720,C
4729,B
4751,C
4754,C
4757,C
4760,C
4787,D
4788,D
4789,D
4790,D
4799,C
4802,C
4805,C
4808,C
4835,C
4838,C
4841,C
4844,C
4871,D
4874,D
4877,D
4880,D
4919,D
4920,D
4921,D
4922,E
4931,C
4934,C
4937,D
4967,C
4971,C
4975,C
5015,D
5016,D
5017,E
5027,C
5030,C
5033,C
5036,D
5063,C
5066,C
5069,C
5072,C
5099,D
5102,D
5105,D
5108,D
5147,D
5148,D
5149,D
5150,E
5159,E
5161,E
5175,D
5177,D
5191,D
5193,E
5207,E
5209,E
5223,D
5225,E
5239,E
5240,E
5247,D
5249,E
5263,E
5265,E
5279,G
5283,G
5288,G
5292,G
5295,G
5299,G
5303,B
5304,C
5305,B
5306,B
5307,B
5309,B
5312,C
5314,B
5315,F
5318,F
5321,F
5333,F
5336,F
5339,F
5351,G
5353,G
5355,G
5363,F
5367,F
5371,G
5375,B
5379,C
5381,C
5383,C
5397,C
5399,C
5401,C
5415,C
5417,C
5419,C
5433,B
5435,B
5437,B
5463,B
5464,D
5466,D
5476,C
5479,C
5482,C
5494,D
5495,E
5496,E
5504,E
5506,E
5508,E
5524,E
5526,E
5528,E
5544,D
5546,D
5556,E
5559,E
5562,E
5574,D
5575,D
5576,D
5580,D
5581,E
5582,E
5586,D
5587,D
5589,E
5590,E
5592,E
5604,F
5605,F
5608,F
5610,F
5616,F
5624,F
5626,F
5632,F
5634,F
5636,F
5638,F
5640,F
5642,F
5644,D
5645,D
5646,D
5656,C
5657,C
5658,C
5668,D
5669,E
5670,E
5680,D
5681,D
5682,E
5692,D
5693,D
5706,D
5707,D
5708,D
5720,E
5721,E
5728,D
5729,E
5731,E
5738,D
5739,D
5740,D
5762,C
5763,C
5764,D
5786,C
5788,C
5790,D
5850,C
5851,C
5852,C
5898,C
5900,C
5902,D
5962,C
5963,C
5964,C
6010,E
6012,E
6014,E
6074,D
6076,D
6078,D
6138,D
6139,D
6140,D
6152,C
6153,D
6154,D
6166,C
6168,D
6170,D
6194,C
6195,C
6196,D
6208,C
6210,D
6212,D
6236,C
6237,C
6238,D
6250,E
6252,E
6254,E
6270,E
6286,D
6288,E
6290,E
6314,C
6315,C
6316,C
6326,C
6327,C
6328,C
6338,C
6339,C
6341,D
6348,C
6349,D
6351,D
6358,C
6361,C
6364,C
6385,B
6470,C
6471,C
6498,C
6501,C
6504,C
6606,C
6607,C
6608,C
6634,C
6638,C
6642,D
6690,C
6691,C
6692,C
6704,C
6708,D
6712,D
6760,C
6761,D
6774,C
6775,C
6776,D
6786,C
6787,C
6788,C
6798,B
6799,C
6800,C
6810,C
6811,C
6812,C
6822,B
6823,C
6824,C
6834,D
6835,D
6836,E
6846,D
6847,D
6848,D
6860,C
6861,C
6863,D
6870,C
6871,C
6872,C
6884,C
6885,D
6887,D
6894,C
6895,C
6896,C
6908,D
6909,E
6911,E
6918,C
6919,C
6920,D
6921,D
6938,C
6941,C
6944,C
6998,C
6999,C
7000,C
7018,C
7021,C
7024,C
7078,C
7079,C
7080,C
7098,D
7101,D
7134,D
7135,D
7146,D
7148,D
7150,E
7178,D
7179,D
7180,D
7192,C
7196,C
7200,D
7248,C
7249,C
7250,C
7262,C
7266,D
7270,D
7318,C
7319,D
7320,D
7332,D
7336,E
7372,D
7373,D
7382,D
7384,E
7386,E
7448,E
7449,E
7452,E
7460,D
7461,E
7462,E
7474,E
7475,E
7477,E
7484,E
7485,E
7530,D
7531,D
7542,D
7543,E
7545,E
7573,E
7575,E
7597,D
7598,D
7599,D
7629,E
7630,E
7639,E
7641,E
7643,E
7667,E
7669,E
7687,D
7688,D
7689,E
7690,D
7699,D
7700,D
7701,D
7713,E
7714,E
7717,E
7725,D
7726,E
7727,E
