,Marque,Carburant,puiss_max,CO2,masse_ordma_min,Carrosserie,boite,gamme2,Cat_CO2
0,ALFA-ROMEO,ES,147.0,182.0,1505,BREAK,M,MOY-SUPERIEURE,E
1,ALFA-ROMEO,GO,125.0,136.0,1565,BERLINE,M,MOY-SUPERIEURE,C
2,ALFA-ROMEO,GO,100.0,134.0,1565,BERLINE,M,MOY-SUPERIEURE,C
4,ALFA-ROMEO,GO,125.0,139.0,1565,BERLINE,M,MOY-SUPERIEURE,C
6,ALFA-ROMEO,ES,147.0,186.0,1555,BREAK,M,MOY-SUPERIEURE,E
7,ALFA-ROMEO,GO,125.0,139.0,1615,BREAK,M,MOY-SUPERIEURE,C
8,ALFA-ROMEO,GO,100.0,137.0,1615,BREAK,M,MOY-SUPERIEURE,C
10,ALFA-ROMEO,GO,125.0,142.0,1615,BREAK,M,MOY-SUPERIEURE,D
12,ALFA-ROMEO,ES,331.0,379.0,1750,CABRIOLET,M,LUXE,G
14,ALFA-ROMEO,ES,147.0,189.0,1505,COUPE,M,MOY-SUPERIEURE,E
16,ALFA-ROMEO,GO,125.0,142.0,1555,COUPE,M,MOY-SUPERIEURE,D
18,ALFA-ROMEO,GO,120.0,142.0,1555,COUPE,M,MOY-SUPERIEURE,D
20,ALFA-ROMEO,ES,88.0,149.0,1355,BERLINE,M,MOY-INFERIEURE,D
27,ALFA-ROMEO,ES,125.0,121.0,1380,BERLINE,A,MOY-INFERIEURE,C
31,ALFA-ROMEO,ES,125.0,134.0,1365,BERLINE,M,MOY-INFERIEURE,C
38,ALFA-ROMEO,ES,172.5,177.0,1395,BERLINE,M,MOY-INFERIEURE,E
40,ALFA-ROMEO,GO,77.0,114.0,1385,BERLINE,M,MOY-INFERIEURE,B
42,ALFA-ROMEO,GO,125.0,119.0,1410,BERLINE,A,MOY-INFERIEURE,B
44,ALFA-ROMEO,GO,125.0,124.0,1395,BERLINE,M,MOY-INFERIEURE,C
47,ALFA-ROMEO,ES,85.0,149.0,1355,BERLINE,M,MOY-INFERIEURE,D
49,ALFA-ROMEO,ES,120.0,121.0,1380,BERLINE,A,MOY-INFERIEURE,C
51,ALFA-ROMEO,ES,120.0,134.0,1365,BERLINE,M,MOY-INFERIEURE,C
53,ALFA-ROMEO,GO,120.0,119.0,1410,BERLINE,A,MOY-INFERIEURE,B
55,ALFA-ROMEO,GO,120.0,124.0,1395,BERLINE,M,MOY-INFERIEURE,C
57,ALFA-ROMEO,GO,103.0,119.0,1395,BERLINE,M,MOY-INFERIEURE,B
61,ALFA-ROMEO,GO,100.0,119.0,1395,BERLINE,M,MOY-INFERIEURE,B
63,ALFA-ROMEO,ES,77.0,149.0,1355,BERLINE,M,MOY-INFERIEURE,D
67,ALFA-ROMEO,GO,88.0,114.0,1280,BERLINE,M,INFERIEURE,B
69,ALFA-ROMEO,GO,85.0,114.0,1280,BERLINE,M,INFERIEURE,B
71,ALFA-ROMEO,ES,77.0,136.0,1185,BERLINE,M,INFERIEURE,C
72,ALFA-ROMEO,ES,77.0,134.0,1165,BERLINE,M,INFERIEURE,C
74,ALFA-ROMEO,ES,99.0,129.0,1210,BERLINE,M,INFERIEURE,C
76,ALFA-ROMEO,ES,125.0,139.0,1220,BERLINE,M,INFERIEURE,C
78,ALFA-ROMEO,GO,70.0,104.0,1225,BERLINE,M,INFERIEURE,B
80,ALFA-ROMEO,ES,99.0,126.0,1245,BERLINE,M,INFERIEURE,C
82,ALFA-ROMEO,GO,62.0,95.0,1225,BERLINE,M,INFERIEURE,A
86,ALFA-ROMEO,GO,62.0,90.0,1225,BERLINE,M,INFERIEURE,A
90,ALFA-ROMEO,GO,62.0,88.0,1225,BERLINE,M,INFERIEURE,A
92,ALFA-ROMEO,ES,57.0,130.0,1155,BERLINE,M,INFERIEURE,C
94,ALFA-ROMEO,ES,51.0,134.0,1155,BERLINE,M,INFERIEURE,C
96,ALFA-ROMEO,ES,62.5,98.0,1205,BERLINE,M,INFERIEURE,A
98,ALFA-ROMEO,ES,77.0,99.0,1205,BERLINE,M,INFERIEURE,A
100,ALFA-ROMEO,ES,147.0,192.0,1565,CABRIOLET,M,SUPERIEURE,E
101,ALFA-ROMEO,GO,125.0,142.0,1615,CABRIOLET,M,SUPERIEURE,D
102,ALFA-ROMEO,GO,120.0,142.0,1615,CABRIOLET,M,SUPERIEURE,D
103,ASTON MARTIN,ES,72.0,116.0,1063,BERLINE,M,INFERIEURE,B
107,ASTON MARTIN,ES,381.0,333.0,1860,COUPE,A,LUXE,G
111,ASTON MARTIN,ES,381.0,333.0,1965,COUPE,A,LUXE,G
115,ASTON MARTIN,ES,559.3,555.0,1815,COUPE,A,LUXE,G
116,ASTON MARTIN,ES,559.3,572.0,1815,COUPE,A,LUXE,G
119,ASTON MARTIN,ES,410.0,332.0,2065,COUPE,A,LUXE,G
121,ASTON MARTIN,ES,422.0,335.0,1814,COUPE,A,LUXE,G
125,ASTON MARTIN,ES,313.2,321.0,1785,COUPE,M,LUXE,G
127,ASTON MARTIN,ES,313.2,299.0,1785,COUPE,A,LUXE,G
129,ASTON MARTIN,ES,320.7,321.0,1765,COUPE,M,LUXE,G
131,ASTON MARTIN,ES,320.7,299.0,1765,COUPE,A,LUXE,G
133,ASTON MARTIN,ES,313.2,321.0,1705,COUPE,M,LUXE,G
135,ASTON MARTIN,ES,313.2,299.0,1705,COUPE,A,LUXE,G
137,ASTON MARTIN,ES,320.7,321.0,1685,COUPE,M,LUXE,G
139,ASTON MARTIN,ES,320.7,299.0,1685,COUPE,A,LUXE,G
141,ASTON MARTIN,ES,380.0,388.0,1755,COUPE,M,LUXE,G
143,ASTON MARTIN,ES,380.0,388.0,1835,COUPE,M,LUXE,G
147,ASTON MARTIN,ES,313.2,295.0,1785,COUPE,A,LUXE,G
163,ASTON MARTIN,ES,313.2,295.0,1705,COUPE,A,LUXE,G
181,AUDI,ES,136.0,139.0,1265,BERLINE,A,INFERIEURE,C
182,AUDI,ES,90.0,122.0,1200,BERLINE,A,INFERIEURE,C
184,AUDI,GO,66.0,110.0,1235,BERLINE,A,INFERIEURE,B
185,AUDI,GO,66.0,99.0,1210,BERLINE,M,INFERIEURE,A
186,AUDI,GO,77.0,99.0,1215,BERLINE,M,INFERIEURE,A
187,AUDI,ES,63.0,118.0,1115,BERLINE,M,INFERIEURE,B
188,AUDI,GO,105.0,108.0,1265,BERLINE,M,INFERIEURE,B
189,AUDI,ES,103.0,109.0,1195,BERLINE,A,INFERIEURE,B
190,AUDI,ES,103.0,109.0,1185,BERLINE,M,INFERIEURE,B
191,AUDI,ES,136.0,139.0,1290,BERLINE,A,INFERIEURE,C
192,AUDI,ES,90.0,122.0,1225,BERLINE,A,INFERIEURE,C
193,AUDI,ES,90.0,126.0,1200,BERLINE,M,INFERIEURE,C
194,AUDI,GO,66.0,110.0,1260,BERLINE,A,INFERIEURE,B
195,AUDI,GO,66.0,99.0,1235,BERLINE,M,INFERIEURE,A
196,AUDI,GO,77.0,99.0,1240,BERLINE,M,INFERIEURE,A
197,AUDI,ES,63.0,118.0,1140,BERLINE,M,INFERIEURE,B
198,AUDI,GO,105.0,108.0,1290,BERLINE,M,INFERIEURE,B
199,AUDI,ES,103.0,113.0,1220,BERLINE,A,INFERIEURE,B
200,AUDI,ES,103.0,113.0,1210,BERLINE,M,INFERIEURE,B
201,AUDI,ES,188.0,199.0,1465,BERLINE,M,INFERIEURE,E
202,AUDI,ES,92.0,139.0,1485,CABRIOLET,M,MOY-INFERIEURE,C
203,AUDI,GO,77.0,114.0,1505,CABRIOLET,M,MOY-INFERIEURE,B
204,AUDI,ES,77.0,132.0,1435,CABRIOLET,M,MOY-INFERIEURE,C
205,AUDI,ES,147.0,171.0,1560,CABRIOLET,A,MOY-INFERIEURE,E
206,AUDI,ES,147.0,169.0,1510,CABRIOLET,M,MOY-INFERIEURE,E
207,AUDI,ES,118.0,154.0,1525,CABRIOLET,A,MOY-INFERIEURE,D
208,AUDI,ES,118.0,156.0,1500,CABRIOLET,M,MOY-INFERIEURE,D
209,AUDI,GO,100.0,134.0,1570,CABRIOLET,A,MOY-INFERIEURE,C
210,AUDI,GO,100.0,119.0,1550,CABRIOLET,M,MOY-INFERIEURE,B
211,AUDI,ES,132.0,130.0,1325,BERLINE,A,MOY-INFERIEURE,C
212,AUDI,ES,132.0,135.0,1305,BERLINE,M,MOY-INFERIEURE,C
213,AUDI,ES,132.0,152.0,1425,BERLINE,A,MOY-INFERIEURE,D
214,AUDI,ES,221.0,159.0,1490,BERLINE,A,MOY-INFERIEURE,D
215,AUDI,ES,221.0,162.0,1470,BERLINE,M,MOY-INFERIEURE,E
216,AUDI,ES,77.0,112.0,1245,BERLINE,A,MOY-INFERIEURE,B
217,AUDI,ES,77.0,114.0,1225,BERLINE,M,MOY-INFERIEURE,B
218,AUDI,GO,77.0,102.0,1325,BERLINE,A,MOY-INFERIEURE,B
219,AUDI,GO,77.0,99.0,1305,BERLINE,M,MOY-INFERIEURE,A
220,AUDI,ES,90.0,120.0,1250,BERLINE,M,MOY-INFERIEURE,B
221,AUDI,ES,103.0,110.0,1280,BERLINE,A,MOY-INFERIEURE,B
222,AUDI,ES,103.0,109.0,1270,BERLINE,M,MOY-INFERIEURE,B
223,AUDI,GO,110.0,117.0,1370,BERLINE,A,MOY-INFERIEURE,B
224,AUDI,GO,110.0,106.0,1355,BERLINE,M,MOY-INFERIEURE,B
225,AUDI,GO,110.0,122.0,1435,BERLINE,M,MOY-INFERIEURE,C
226,AUDI,ES,132.0,130.0,1355,BERLINE,A,MOY-INFERIEURE,C
227,AUDI,GO,77.0,102.0,1355,BERLINE,A,MOY-INFERIEURE,B
228,AUDI,GO,77.0,99.0,1335,BERLINE,M,MOY-INFERIEURE,A
229,AUDI,ES,90.0,116.0,1300,BERLINE,A,MOY-INFERIEURE,B
230,AUDI,ES,90.0,120.0,1280,BERLINE,M,MOY-INFERIEURE,B
231,AUDI,ES,103.0,110.0,1310,BERLINE,A,MOY-INFERIEURE,B
232,AUDI,ES,103.0,112.0,1300,BERLINE,M,MOY-INFERIEURE,B
233,AUDI,GO,110.0,119.0,1395,BERLINE,A,MOY-INFERIEURE,B
234,AUDI,GO,110.0,108.0,1385,BERLINE,M,MOY-INFERIEURE,B
235,AUDI,GO,110.0,122.0,1465,BERLINE,M,MOY-INFERIEURE,C
237,AUDI,ES,88.0,154.0,1565,BREAK,M,MOY-SUPERIEURE,D
238,AUDI,GO,180.0,154.0,1755,BREAK,M,MOY-SUPERIEURE,D
239,AUDI,ES,331.0,249.0,1870,BREAK,A,MOY-SUPERIEURE,F
241,AUDI,GO,130.0,126.0,1610,BREAK,M,MOY-SUPERIEURE,C
242,AUDI,GO,130.0,144.0,1715,BREAK,A,MOY-SUPERIEURE,D
243,AUDI,GO,130.0,139.0,1675,BREAK,M,MOY-SUPERIEURE,C
244,AUDI,ES,245.0,197.0,1825,BREAK,A,MOY-SUPERIEURE,E
245,AUDI,GO,100.0,116.0,1610,BREAK,M,MOY-SUPERIEURE,B
246,AUDI,GO,88.0,123.0,1615,BREAK,M,MOY-SUPERIEURE,C
247,AUDI,GO,180.0,154.0,1840,BREAK,A,MOY-SUPERIEURE,D
249,AUDI,GO,150.0,135.0,1695,BREAK,M,MOY-SUPERIEURE,C
250,AUDI,ES,200.0,197.0,1790,BREAK,A,MOY-SUPERIEURE,E
251,AUDI,GO,130.0,156.0,1745,TS TERRAINS/CHEMINS,A,MOY-SUPERIEURE,D
252,AUDI,GO,130.0,153.0,1705,TS TERRAINS/CHEMINS,M,MOY-SUPERIEURE,D
253,AUDI,GO,180.0,159.0,1865,TS TERRAINS/CHEMINS,A,MOY-SUPERIEURE,D
255,AUDI,ES,88.0,151.0,1505,BERLINE,M,MOY-SUPERIEURE,D
256,AUDI,GO,180.0,152.0,1715,BERLINE,M,MOY-SUPERIEURE,D
258,AUDI,GO,130.0,120.0,1555,BERLINE,M,MOY-SUPERIEURE,B
259,AUDI,GO,130.0,139.0,1670,BERLINE,A,MOY-SUPERIEURE,C
260,AUDI,GO,130.0,134.0,1635,BERLINE,M,MOY-SUPERIEURE,C
261,AUDI,ES,245.0,190.0,1780,BERLINE,A,MOY-SUPERIEURE,E
262,AUDI,GO,100.0,112.0,1550,BERLINE,M,MOY-SUPERIEURE,B
263,AUDI,GO,88.0,117.0,1560,BERLINE,M,MOY-SUPERIEURE,B
264,AUDI,GO,180.0,149.0,1795,BERLINE,A,MOY-SUPERIEURE,D
266,AUDI,GO,150.0,133.0,1650,BERLINE,M,MOY-SUPERIEURE,C
267,AUDI,ES,200.0,190.0,1740,BERLINE,A,MOY-SUPERIEURE,E
268,AUDI,GO,180.0,151.0,1680,COUPE,M,MOY-SUPERIEURE,D
269,AUDI,ES,331.0,246.0,1790,COUPE,A,MOY-SUPERIEURE,F
271,AUDI,GO,130.0,120.0,1545,COUPE,M,MOY-SUPERIEURE,B
272,AUDI,GO,130.0,139.0,1650,COUPE,A,MOY-SUPERIEURE,C
273,AUDI,GO,130.0,134.0,1610,COUPE,M,MOY-SUPERIEURE,C
274,AUDI,ES,245.0,190.0,1750,COUPE,A,MOY-SUPERIEURE,E
275,AUDI,GO,180.0,149.0,1755,COUPE,A,MOY-SUPERIEURE,D
277,AUDI,GO,150.0,133.0,1615,COUPE,M,MOY-SUPERIEURE,C
278,AUDI,ES,200.0,190.0,1725,COUPE,A,MOY-SUPERIEURE,E
279,AUDI,ES,331.0,249.0,1995,CABRIOLET,A,MOY-SUPERIEURE,F
281,AUDI,GO,130.0,127.0,1730,CABRIOLET,M,MOY-SUPERIEURE,C
282,AUDI,GO,130.0,142.0,1795,CABRIOLET,M,MOY-SUPERIEURE,D
283,AUDI,ES,245.0,199.0,1955,CABRIOLET,A,MOY-SUPERIEURE,E
285,AUDI,ES,200.0,199.0,1925,CABRIOLET,A,MOY-SUPERIEURE,E
286,AUDI,GO,180.0,152.0,1735,BERLINE,M,MOY-SUPERIEURE,D
288,AUDI,GO,130.0,120.0,1590,BERLINE,M,MOY-SUPERIEURE,B
289,AUDI,GO,130.0,139.0,1700,BERLINE,A,MOY-SUPERIEURE,C
290,AUDI,GO,130.0,134.0,1670,BERLINE,M,MOY-SUPERIEURE,C
291,AUDI,ES,245.0,190.0,1820,BERLINE,A,MOY-SUPERIEURE,E
292,AUDI,GO,180.0,152.0,1810,TS TERRAINS/CHEMINS,A,LUXE,D
294,AUDI,GO,150.0,133.0,1670,BERLINE,M,MOY-SUPERIEURE,C
295,AUDI,ES,200.0,190.0,1790,BERLINE,A,MOY-SUPERIEURE,E
296,AUDI,EH,155.0,145.0,1845,BERLINE,A,LUXE,D
298,AUDI,ES,132.0,154.0,1680,BREAK,M,LUXE,D
299,AUDI,GO,180.0,156.0,1865,BREAK,A,LUXE,D
300,AUDI,ES,309.0,226.0,2025,BREAK,A,LUXE,F
302,AUDI,GO,130.0,132.0,1715,BREAK,M,LUXE,C
304,AUDI,GO,100.0,132.0,1715,BREAK,M,LUXE,C
305,AUDI,GO,230.0,166.0,1930,BREAK,A,LUXE,E
306,AUDI,ES,228.0,190.0,1865,BREAK,A,LUXE,E
308,AUDI,ES,150.0,177.0,1705,BREAK,M,LUXE,E
309,AUDI,ES,150.0,187.0,1805,BREAK,A,LUXE,E
310,AUDI,GO,180.0,156.0,1900,BREAK,A,LUXE,D
311,AUDI,GO,150.0,152.0,1865,BREAK,A,LUXE,D
313,AUDI,GO,150.0,139.0,1765,BREAK,M,LUXE,C
314,AUDI,ES,412.0,229.0,2010,BREAK,A,LUXE,F
315,AUDI,GO,180.0,165.0,1930,TS TERRAINS/CHEMINS,A,LUXE,E
316,AUDI,GO,230.0,176.0,1985,TS TERRAINS/CHEMINS,A,LUXE,E
317,AUDI,ES,228.0,206.0,1930,TS TERRAINS/CHEMINS,A,LUXE,F
318,AUDI,GO,180.0,165.0,1955,TS TERRAINS/CHEMINS,A,LUXE,E
319,AUDI,GO,150.0,159.0,1930,TS TERRAINS/CHEMINS,A,LUXE,D
321,AUDI,ES,132.0,151.0,1615,BERLINE,M,LUXE,D
322,AUDI,GO,180.0,156.0,1795,BERLINE,A,LUXE,D
323,AUDI,ES,309.0,225.0,1970,BERLINE,A,LUXE,F
325,AUDI,GO,130.0,129.0,1650,BERLINE,M,LUXE,C
327,AUDI,GO,100.0,129.0,1650,BERLINE,M,LUXE,C
328,AUDI,GO,230.0,166.0,1865,BERLINE,A,LUXE,E
329,AUDI,ES,228.0,190.0,1815,BERLINE,A,LUXE,E
331,AUDI,ES,150.0,177.0,1645,BERLINE,M,LUXE,E
332,AUDI,ES,150.0,187.0,1850,BERLINE,A,LUXE,E
333,AUDI,GO,180.0,156.0,1835,BERLINE,A,LUXE,D
334,AUDI,GO,150.0,149.0,1795,BERLINE,A,LUXE,D
336,AUDI,GO,150.0,139.0,1700,BERLINE,M,LUXE,C
337,AUDI,GO,180.0,156.0,1860,BERLINE,A,LUXE,D
338,AUDI,ES,309.0,225.0,2020,COUPE,A,LUXE,F
339,AUDI,GO,230.0,166.0,1925,BERLINE,A,LUXE,E
340,AUDI,ES,220.0,190.0,1860,BERLINE,A,LUXE,E
341,AUDI,ES,228.0,190.0,1860,BERLINE,A,LUXE,E
343,AUDI,ES,150.0,187.0,1865,BERLINE,A,LUXE,E
344,AUDI,GO,180.0,156.0,1895,BERLINE,A,LUXE,D
345,AUDI,GO,150.0,152.0,1860,BERLINE,A,LUXE,D
347,AUDI,ES,412.0,229.0,1995,BERLINE,A,LUXE,F
348,AUDI,EH,155.0,149.0,1995,BERLINE,A,LUXE,D
349,AUDI,EH,155.0,147.0,1945,BERLINE,A,LUXE,D
350,AUDI,GO,258.0,198.0,2120,BERLINE,A,LUXE,E
351,AUDI,GO,184.0,171.0,1965,BERLINE,A,LUXE,E
352,AUDI,ES,368.0,277.0,2130,BERLINE,A,LUXE,G
353,AUDI,ES,309.0,221.0,2020,BERLINE,A,LUXE,F
354,AUDI,ES,213.0,205.0,1955,BERLINE,A,LUXE,F
355,AUDI,GO,150.0,158.0,1920,BERLINE,A,LUXE,D
356,AUDI,GO,184.0,171.0,2005,BERLINE,A,LUXE,E
357,AUDI,GO,258.0,195.0,2070,BERLINE,A,LUXE,E
358,AUDI,GO,184.0,169.0,1915,BERLINE,A,LUXE,E
359,AUDI,ES,309.0,219.0,1970,BERLINE,A,LUXE,F
360,AUDI,ES,382.0,235.0,2050,BERLINE,A,LUXE,F
361,AUDI,ES,213.0,204.0,1905,BERLINE,A,LUXE,F
362,AUDI,GO,150.0,158.0,1870,BERLINE,A,LUXE,D
363,AUDI,GO,184.0,169.0,1955,BERLINE,A,LUXE,E
364,AUDI,ES,125.0,179.0,1630,TS TERRAINS/CHEMINS,A,SUPERIEURE,E
365,AUDI,GO,103.0,137.0,1520,TS TERRAINS/CHEMINS,M,SUPERIEURE,C
366,AUDI,GO,103.0,152.0,1645,TS TERRAINS/CHEMINS,A,SUPERIEURE,D
367,AUDI,GO,103.0,149.0,1610,TS TERRAINS/CHEMINS,M,SUPERIEURE,D
368,AUDI,GO,130.0,144.0,1565,TS TERRAINS/CHEMINS,M,SUPERIEURE,D
369,AUDI,GO,130.0,156.0,1660,TS TERRAINS/CHEMINS,A,SUPERIEURE,D
370,AUDI,GO,130.0,148.0,1650,TS TERRAINS/CHEMINS,M,SUPERIEURE,D
371,AUDI,ES,155.0,179.0,1640,TS TERRAINS/CHEMINS,A,SUPERIEURE,E
372,AUDI,EH,155.0,159.0,1985,TS TERRAINS/CHEMINS,A,SUPERIEURE,D
373,AUDI,GO,180.0,169.0,1935,TS TERRAINS/CHEMINS,A,SUPERIEURE,E
374,AUDI,GO,130.0,169.0,1895,TS TERRAINS/CHEMINS,A,SUPERIEURE,E
375,AUDI,GO,130.0,154.0,1830,TS TERRAINS/CHEMINS,M,SUPERIEURE,D
376,AUDI,GO,230.0,179.0,1995,TS TERRAINS/CHEMINS,A,SUPERIEURE,E
377,AUDI,GO,110.0,139.0,1755,TS TERRAINS/CHEMINS,M,SUPERIEURE,C
378,AUDI,GO,110.0,154.0,1830,TS TERRAINS/CHEMINS,M,SUPERIEURE,D
379,AUDI,ES,132.0,174.0,1795,TS TERRAINS/CHEMINS,M,SUPERIEURE,E
380,AUDI,ES,165.0,184.0,1830,TS TERRAINS/CHEMINS,A,SUPERIEURE,E
381,AUDI,ES,165.0,174.0,1795,TS TERRAINS/CHEMINS,M,SUPERIEURE,E
382,AUDI,GO,250.0,242.0,2515,TS TERRAINS/CHEMINS,A,LUXE,F
383,AUDI,GO,150.0,189.0,2375,TS TERRAINS/CHEMINS,A,LUXE,E
384,AUDI,ES,245.0,249.0,2345,TS TERRAINS/CHEMINS,A,LUXE,F
385,AUDI,ES,200.0,249.0,2325,TS TERRAINS/CHEMINS,A,LUXE,F
386,AUDI,GO,180.0,195.0,2375,TS TERRAINS/CHEMINS,A,LUXE,E
387,AUDI,ES,316.0,289.0,1660,COUPE,A,LUXE,G
388,AUDI,ES,316.0,332.0,1635,COUPE,M,LUXE,G
389,AUDI,ES,404.0,299.0,1670,COUPE,A,LUXE,G
390,AUDI,ES,404.0,346.0,1645,COUPE,M,LUXE,G
391,AUDI,ES,386.0,305.0,1720,COUPE,A,LUXE,G
392,AUDI,ES,386.0,346.0,1695,COUPE,M,LUXE,G
393,AUDI,ES,316.0,294.0,1760,COUPE,A,LUXE,G
394,AUDI,ES,316.0,337.0,1735,COUPE,M,LUXE,G
395,AUDI,ES,386.0,310.0,1820,COUPE,A,LUXE,G
396,AUDI,ES,386.0,349.0,1795,COUPE,M,LUXE,G
397,AUDI,ES,118.0,147.0,1355,COUPE,A,LUXE,D
398,AUDI,ES,118.0,149.0,1335,COUPE,M,LUXE,D
399,AUDI,ES,200.0,179.0,1505,COUPE,A,LUXE,E
400,AUDI,ES,200.0,184.0,1485,COUPE,M,LUXE,E
401,AUDI,ES,250.0,197.0,1550,COUPE,A,LUXE,E
402,AUDI,ES,250.0,209.0,1525,COUPE,M,LUXE,F
403,AUDI,ES,265.0,197.0,1550,COUPE,A,LUXE,E
404,AUDI,ES,265.0,209.0,1525,COUPE,M,LUXE,F
405,AUDI,ES,155.0,164.0,1375,COUPE,A,LUXE,E
406,AUDI,ES,155.0,154.0,1355,COUPE,M,LUXE,D
407,AUDI,ES,155.0,169.0,1455,COUPE,A,LUXE,E
408,AUDI,GO,125.0,144.0,1490,COUPE,A,LUXE,D
409,AUDI,GO,125.0,139.0,1465,COUPE,M,LUXE,C
410,AUDI,ES,118.0,152.0,1395,COUPE,A,LUXE,D
411,AUDI,ES,118.0,152.0,1380,COUPE,M,LUXE,D
412,AUDI,ES,200.0,184.0,1570,COUPE,A,LUXE,E
413,AUDI,ES,200.0,189.0,1550,COUPE,M,LUXE,E
414,AUDI,ES,250.0,199.0,1610,COUPE,A,LUXE,E
415,AUDI,ES,250.0,212.0,1585,COUPE,M,LUXE,F
416,AUDI,ES,265.0,199.0,1610,COUPE,A,LUXE,E
417,AUDI,ES,265.0,212.0,1585,COUPE,M,LUXE,F
418,AUDI,ES,155.0,168.0,1395,COUPE,A,LUXE,E
419,AUDI,ES,155.0,156.0,1390,COUPE,M,LUXE,D
420,AUDI,ES,155.0,172.0,1500,COUPE,A,LUXE,E
421,AUDI,GO,125.0,146.0,1535,COUPE,A,LUXE,D
422,AUDI,GO,125.0,144.0,1505,COUPE,M,LUXE,D
423,BENTLEY,ES,460.0,338.0,2395,COUPE,A,LUXE,G
425,BENTLEY,ES,423.0,338.0,2395,COUPE,A,LUXE,G
427,BENTLEY,ES,373.0,246.0,2370,COUPE,A,LUXE,F
429,BENTLEY,ES,460.0,347.0,2570,COUPE,A,LUXE,G
431,BENTLEY,ES,423.0,347.0,2570,CABRIOLET,A,LUXE,G
433,BENTLEY,ES,373.0,254.0,2545,CABRIOLET,A,LUXE,G
435,BENTLEY,ES,460.0,343.0,2565,BERLINE,A,LUXE,G
437,BENTLEY,ES,460.0,343.0,2550,BERLINE,A,LUXE,G
439,BENTLEY,ES,373.0,250.0,2505,BERLINE,A,LUXE,G
441,BENTLEY,ES,373.0,250.0,2492,BERLINE,A,LUXE,G
443,BENTLEY,ES,377.0,393.0,2760,BERLINE,A,LUXE,G
445,BMW,GO,70.0,112.0,1380,BERLINE,M,MOY-INFERIEURE,B
446,BMW,ES,75.0,129.0,1365,BERLINE,M,MOY-INFERIEURE,C
447,BMW,ES,75.0,132.0,1365,BERLINE,M,MOY-INFERIEURE,C
448,BMW,GO,70.0,112.0,1385,BERLINE,M,MOY-INFERIEURE,B
449,BMW,ES,90.0,143.0,1320,BERLINE,M,MOY-INFERIEURE,D
450,BMW,ES,90.0,154.0,1350,BERLINE,A,MOY-INFERIEURE,D
451,BMW,GO,85.0,118.0,1370,BERLINE,M,MOY-INFERIEURE,B
452,BMW,ES,100.0,134.0,1385,BERLINE,A,MOY-INFERIEURE,C
453,BMW,ES,100.0,132.0,1365,BERLINE,M,MOY-INFERIEURE,C
454,BMW,ES,160.0,149.0,1440,BERLINE,A,MOY-INFERIEURE,D
455,BMW,ES,160.0,154.0,1420,BERLINE,M,MOY-INFERIEURE,D
456,BMW,GO,85.0,119.0,1420,BERLINE,A,MOY-INFERIEURE,B
457,BMW,GO,85.0,117.0,1385,BERLINE,M,MOY-INFERIEURE,B
458,BMW,ES,105.0,152.0,1495,BERLINE,M,MOY-INFERIEURE,D
459,BMW,ES,105.0,162.0,1520,BERLINE,A,MOY-INFERIEURE,E
460,BMW,GO,105.0,127.0,1560,CABRIOLET,M,MOY-INFERIEURE,C
461,BMW,GO,105.0,145.0,1575,CABRIOLET,A,MOY-INFERIEURE,D
462,BMW,GO,105.0,118.0,1395,COUPE,M,MOY-INFERIEURE,B
463,BMW,GO,105.0,140.0,1420,COUPE,A,MOY-INFERIEURE,C
464,BMW,ES,125.0,134.0,1390,BERLINE,A,MOY-INFERIEURE,C
465,BMW,ES,125.0,137.0,1370,BERLINE,M,MOY-INFERIEURE,C
466,BMW,GO,105.0,119.0,1385,BERLINE,M,MOY-INFERIEURE,B
467,BMW,GO,105.0,140.0,1410,BERLINE,A,MOY-INFERIEURE,C
468,BMW,ES,105.0,143.0,1340,BERLINE,M,MOY-INFERIEURE,D
469,BMW,ES,105.0,154.0,1365,BERLINE,A,MOY-INFERIEURE,D
471,BMW,ES,125.0,134.0,1370,BERLINE,M,MOY-INFERIEURE,C
472,BMW,GO,105.0,119.0,1420,BERLINE,A,MOY-INFERIEURE,B
473,BMW,GO,105.0,118.0,1395,BERLINE,M,MOY-INFERIEURE,B
474,BMW,ES,125.0,152.0,1375,COUPE,M,MOY-INFERIEURE,D
475,BMW,ES,125.0,154.0,1395,COUPE,A,MOY-INFERIEURE,D
476,BMW,ES,125.0,158.0,1505,CABRIOLET,M,MOY-INFERIEURE,D
477,BMW,ES,125.0,163.0,1535,CABRIOLET,A,MOY-INFERIEURE,E
478,BMW,GO,130.0,132.0,1580,CABRIOLET,M,MOY-INFERIEURE,C
479,BMW,GO,130.0,145.0,1590,CABRIOLET,A,MOY-INFERIEURE,D
480,BMW,GO,130.0,124.0,1450,COUPE,M,MOY-INFERIEURE,C
481,BMW,GO,130.0,140.0,1450,COUPE,A,MOY-INFERIEURE,C
482,BMW,GO,135.0,119.0,1415,BERLINE,M,MOY-INFERIEURE,B
483,BMW,GO,135.0,122.0,1415,BERLINE,M,MOY-INFERIEURE,C
484,BMW,GO,135.0,123.0,1495,BERLINE,M,MOY-INFERIEURE,C
485,BMW,GO,135.0,126.0,1495,BERLINE,M,MOY-INFERIEURE,C
486,BMW,ES,125.0,153.0,1365,BERLINE,M,MOY-INFERIEURE,D
487,BMW,ES,125.0,155.0,1385,BERLINE,A,MOY-INFERIEURE,D
