,CO2
693,153.0
694,155.0
695,157.0
696,161.0
697,163.0
698,139.0
699,135.0
700,139.0
701,142.0
702,138.0
703,142.0
704,145.0
705,143.0
706,147.0
707,150.0
708,134.0
709,138.0
710,140.0
711,126.0
712,130.0
713,132.0
714,132.0
715,136.0
716,138.0
717,159.0
718,163.0
719,166.0
720,165.0
721,169.0
722,172.0
723,169.0
724,173.0
725,176.0
726,152.0
727,156.0
728,158.0
729,159.0
730,163.0
731,165.0
732,162.0
733,166.0
734,168.0
735,149.0
736,153.0
737,156.0
738,177.0
739,181.0
740,184.0
741,183.0
742,187.0
743,190.0
744,145.0
745,149.0
746,152.0
747,155.0
748,159.0
749,162.0
750,146.0
751,149.0
752,152.0
753,139.0
754,143.0
755,145.0
756,149.0
757,153.0
758,155.0
759,173.0
760,176.0
761,178.0
762,177.0
763,180.0
764,182.0
765,173.0
766,183.0
767,163.0
768,153.0
769,179.0
770,183.0
771,186.0
772,190.0
773,194.0
774,197.0
775,194.0
776,197.0
777,199.0
778,156.0
779,159.0
780,163.0
781,148.0
782,152.0
783,155.0
784,177.0
785,180.0
786,183.0
787,188.0
788,192.0
789,194.0
790,185.0
791,188.0
792,190.0
793,142.0
794,146.0
795,148.0
796,149.0
797,154.0
798,156.0
799,209.0
800,175.0
801,216.0
802,187.0
803,168.0
804,154.0
805,249.0
806,250.0
807,169.0
808,242.0
809,243.0
810,256.0
811,257.0
812,165.0
813,214.0
814,263.0
815,224.0
816,275.0
817,152.0
818,154.0
819,158.0
820,189.0
822,193.0
823,177.0
824,179.0
825,181.0
826,181.0
827,183.0
828,185.0
829,143.0
830,144.0
831,145.0
832,188.0
834,191.0
835,147.0
836,148.0
837,149.0
838,149.0
839,152.0
840,153.0
841,154.0
842,157.0
843,158.0
844,192.0
846,195.0
847,199.0
848,206.0
849,215.0
850,219.0
851,245.0
852,246.0
853,262.0
854,263.0
855,248.0
856,249.0
857,266.0
858,267.0
859,213.0
860,217.0
861,199.0
862,206.0
863,217.0
864,221.0
865,208.0
866,214.0
867,178.0
868,180.0
869,148.0
870,158.0
871,148.0
872,232.0
873,235.0
874,183.0
875,181.0
876,184.0
877,159.0
878,149.0
879,184.0
880,266.0
881,266.0
882,278.0
883,278.0
884,199.0
885,217.0
886,169.0
887,199.0
888,169.0
889,219.0
890,299.0
891,303.0
894,290.0
895,297.0
896,269.0
898,263.0
899,232.0
900,232.0
909,195.0
910,191.0
911,165.0
912,165.0
913,183.0
914,183.0
915,145.0
916,154.0
917,177.0
918,179.0
919,155.0
920,136.0
921,155.0
922,139.0
923,132.0
924,128.0
925,132.0
926,129.0
927,164.0
928,150.0
929,164.0
930,153.0
931,167.0
932,158.0
933,143.0
934,144.0
935,143.0
936,145.0
937,128.0
938,119.0
939,175.0
940,184.0
941,210.0
942,204.0
943,142.0
944,135.0
945,147.0
946,149.0
947,159.0
948,162.0
949,325.0
950,236.0
951,292.0
952,195.0
953,198.0
954,199.0
960,204.0
961,159.0
962,159.0
963,159.0
964,159.0
965,159.0
966,159.0
967,210.0
968,219.0
969,210.0
970,195.0
974,191.0
977,199.0
986,240.0
987,240.0
988,241.0
989,247.0
990,246.0
991,365.0
992,336.0
993,250.0
994,250.0
995,245.0
996,250.0
997,370.0
998,343.0
999,255.0
1000,255.0
1001,365.0
1002,336.0
1003,339.0
1006,268.0
1012,267.0
1014,138.0
1015,129.0
1016,147.0
1017,125.0
1018,99.0
1019,95.0
1020,138.0
1021,129.0
1022,145.0
1023,125.0
1024,97.0
1025,95.0
1026,329.0
1027,304.0
1028,329.0
1029,304.0
1030,198.0
1031,164.0
1032,208.0
1033,170.0
1034,325.0
1036,342.0
1037,331.0
1038,315.0
1039,293.0
1040,321.0
1041,293.0
1042,315.0
1043,293.0
1044,321.0
1045,293.0
1046,325.0
1047,155.0
1048,164.0
1049,126.0
1050,117.0
1051,134.0
1052,155.0
1053,164.0
1054,126.0
1055,117.0
1056,151.0
1057,164.0
1058,126.0
1059,119.0
1060,136.0
1061,160.0
1062,125.0
1063,164.0
1064,169.0
1065,139.0
1066,139.0
1067,149.0
1068,119.0
1069,119.0
1070,149.0
1071,153.0
1072,180.0
1073,129.0
1074,120.0
1075,139.0
1077,155.0
1078,169.0
1079,134.0
1080,135.0
1081,135.0
1082,123.0
1083,120.0
1084,144.0
1085,144.0
1087,102.0
1088,104.0
1089,99.0
1090,102.0
1091,104.0
1092,99.0
1093,138.0
1094,136.0
1095,155.0
1096,150.0
1097,136.0
1098,134.0
1099,127.0
1100,129.0
1101,87.0
1102,99.0
1103,95.0
1104,118.0
1105,114.0
1106,109.0
1107,99.0
1108,107.0
1109,104.0
1110,95.0
1111,99.0
1112,95.0
1113,90.0
1114,98.0
1115,107.0
1116,104.0
1117,102.0
1118,102.0
1119,99.0
1120,145.0
1121,149.0
1122,137.0
1123,132.0
1124,145.0
1125,140.0
1126,127.0
1127,119.0
1128,107.0
1129,105.0
1130,109.0
1131,112.0
1132,146.0
1133,143.0
1134,162.0
1135,159.0
1136,145.0
1137,148.0
1138,143.0
1139,140.0
1140,97.0
1141,95.0
1142,100.0
1143,98.0
1144,95.0
1145,101.0
1146,109.0
1147,106.0
1148,104.0
1149,130.0
1150,127.0
1151,141.0
1152,146.0
1153,119.0
1154,129.0
1155,137.0
1156,133.0
1157,145.0
1158,142.0
1159,139.0
1160,105.0
1161,105.0
1162,104.0
1163,110.0
1164,98.0
1165,137.0
1166,135.0
1167,137.0
1168,130.0
1169,136.0
1170,120.0
1171,139.0
1172,132.0
1173,135.0
1174,137.0
1175,140.0
1176,139.0
1177,163.0
1178,159.0
1179,135.0
1180,132.0
1181,133.0
1182,126.0
1183,132.0
1184,120.0
1185,137.0
1186,130.0
1187,155.0
1188,144.0
1189,153.0
1190,169.0
1191,117.0
1192,125.0
1193,130.0
1194,129.0
1195,163.0
1196,189.0
1197,159.0
1198,149.0
1199,155.0
1200,169.0
1201,117.0
1202,125.0
1203,134.0
1204,133.0
1205,163.0
1206,189.0
1207,155.0
1208,155.0
1209,189.0
1210,149.0
1211,138.0
1212,136.0
1213,155.0
1214,150.0
1215,135.0
1216,136.0
1217,134.0
1218,127.0
1219,129.0
1220,118.0
1221,114.0
1222,109.0
1223,99.0
1224,95.0
1225,99.0
1226,95.0
1227,90.0
1228,98.0
1229,107.0
1230,104.0
1231,102.0
1232,136.0
1233,154.0
1234,137.0
1235,99.0
1236,112.0
1237,109.0
1238,178.0
1239,144.0
1240,149.0
1241,122.0
1242,110.0
1243,110.0
1244,114.0
1245,113.0
1246,130.0
1247,149.0
1248,155.0
1249,169.0
1250,165.0
1251,114.0
1254,133.0
1255,129.0
1257,158.0
1258,154.0
1259,187.0
1260,184.0
1261,184.0
1262,189.0
1263,189.0
1264,179.0
1265,172.0
1266,172.0
1267,199.0
1268,179.0
1269,172.0
1270,172.0
1271,199.0
1272,179.0
1273,172.0
1274,172.0
1275,172.0
1276,179.0
1277,172.0
1278,172.0
1279,119.0
1280,107.0
1281,119.0
1282,152.0
1283,152.0
1284,135.0
1285,168.0
1286,118.0
1287,118.0
1296,132.0
1297,130.0
1298,135.0
1299,126.0
1300,131.0
1301,161.0
1302,116.0
1303,135.0
1304,161.0
1305,116.0
1306,109.0
1307,109.0
1308,99.0
1309,116.0
1310,135.0
1311,99.0
1312,99.0
1313,116.0
1314,124.0
1315,135.0
1316,99.0
1317,105.0
1326,150.0
1327,139.0
1328,139.0
1329,154.0
1330,148.0
1332,139.0
1333,134.0
1334,119.0
1336,229.0
1337,195.0
1338,195.0
1339,195.0
1340,195.0
1341,195.0
1342,195.0
1343,195.0
1344,195.0
1345,199.0
1346,199.0
1347,199.0
1348,229.0
1349,229.0
1363,199.0
1365,199.0
1366,275.0
1367,307.0
1370,275.0
1371,307.0
1374,270.0
1375,299.0
1378,299.0
1379,270.0
1382,350.0
1383,380.0
1384,380.0
1385,360.0
1387,118.0
1388,110.0
1390,110.0
1391,115.0
1393,119.0
1396,113.0
1400,104.0
1420,110.0
1421,110.0
1422,140.0
1423,140.0
1424,135.0
1426,135.0
1427,130.0
1429,149.0
1431,140.0
1434,135.0
1436,155.0
1437,155.0
1438,104.0
1440,92.0
1441,92.0
1442,90.0
1443,95.0
1445,92.0
1446,97.0
1447,97.0
1448,95.0
1449,95.0
1450,118.0
1451,110.0
1453,115.0
1455,119.0
1457,113.0
1458,110.0
1459,110.0
1460,140.0
1461,135.0
1463,135.0
1464,130.0
1466,149.0
1467,140.0
1470,135.0
1472,104.0
1474,92.0
1475,92.0
1476,90.0
1477,95.0
1479,92.0
1480,105.0
1482,109.0
1484,105.0
1485,110.0
1489,114.0
1491,110.0
1493,145.0
1495,149.0
1496,112.0
1500,109.0
1506,119.0
1508,117.0
1510,122.0
1513,146.0
1530,146.0
1532,129.0
1536,115.0
1537,120.0
1541,129.0
1545,125.0
1546,122.0
1547,139.0
1551,132.0
1553,135.0
1555,135.0
1557,166.0
1559,166.0
1560,172.0
1562,171.0
1563,177.0
1564,138.0
1565,138.0
1568,145.0
1569,150.0
1570,158.0
1571,150.0
1572,150.0
1575,156.0
1576,157.0
1577,163.0
1626,169.0
1628,133.0
1629,133.0
1630,145.0
1631,138.0
1632,138.0
1633,148.0
1636,145.0
1637,150.0
1638,158.0
1644,141.0
1645,152.0
1646,163.0
1647,186.0
